region,period_id,period,baseline_period,metric,estimate,ci_lower,ci_upper
MED,P1,2021-2040,1995-2014,exceedance_probability_2c,0.008,0.0,0.032
MED,P1,2021-2040,1995-2014,exceedance_probability_3c,0.0,0.0,0.0
MED,P1,2021-2040,1995-2014,internal_contribution,0.1577608526020292,0.1019251833128579,0.6392461560463418
MED,P1,2021-2040,1995-2014,internal_sd,0.1676753557625453,0.1401165339244797,0.1869437777562037
MED,P1,2021-2040,1995-2014,internal_snr,7.688460396827567,5.655397006375875,10.9004803733837
MED,P1,2021-2040,1995-2014,model_contribution,0.8422391473979703,0.3607538439536583,0.8980748166871421
MED,P1,2021-2040,1995-2014,total_sd,0.4221527416475925,0.1887410052972258,0.4877423498777338
MED,P1,2021-2040,1995-2014,total_snr,3.0537888425713,2.41604054974686,8.176396752415375
MED,P2,2041-2060,1995-2014,exceedance_probability_2c,0.6910000000000001,0.3572333333333334,1.0
MED,P2,2041-2060,1995-2014,exceedance_probability_3c,0.2156190476190476,0.0,0.5451428571428572
MED,P2,2041-2060,1995-2014,internal_contribution,0.1048719106466819,0.059674292193527,0.4445361152173757
MED,P2,2041-2060,1995-2014,internal_sd,0.1950405477800531,0.1644028772614008,0.2163109869931543
MED,P2,2041-2060,1995-2014,internal_snr,12.35322848106491,9.986979326249791,16.2026625431615
MED,P2,2041-2060,1995-2014,model_contribution,0.8951280893533178,0.5554638847826244,0.940325707806473
MED,P2,2041-2060,1995-2014,total_sd,0.6022756677440824,0.2924486341251786,0.7201616309205756
MED,P2,2041-2060,1995-2014,total_snr,4.00046121541613,3.27156214153436,9.13800181272972
MED,P3,2081-2100,1995-2014,exceedance_probability_2c,1.0,1.0,1.0
MED,P3,2081-2100,1995-2014,exceedance_probability_3c,1.0,1.0,1.0
MED,P3,2081-2100,1995-2014,internal_contribution,0.0335705382878853,0.0201594418267223,0.3273858745698774
MED,P3,2081-2100,1995-2014,internal_sd,0.1929150181534215,0.1600499824088356,0.2222757256252477
MED,P3,2081-2100,1995-2014,internal_snr,25.62123155302612,19.63769724511869,34.7187494699037
MED,P3,2081-2100,1995-2014,model_contribution,0.9664294617121144,0.6726141254301226,0.9798405581732776
MED,P3,2081-2100,1995-2014,total_sd,1.052899418050392,0.3436289129588478,1.245800310209815
MED,P3,2081-2100,1995-2014,total_snr,4.694389858546288,3.992938180003223,12.8522779725802
NEU,P1,2021-2040,1995-2014,exceedance_probability_2c,0.0285714285714285,0.0,0.0952380952380952
NEU,P1,2021-2040,1995-2014,exceedance_probability_3c,0.0,0.0,0.0
NEU,P1,2021-2040,1995-2014,internal_contribution,0.2021505195851156,0.115116892303576,0.8799339217793908
NEU,P1,2021-2040,1995-2014,internal_sd,0.2865817532973196,0.2130017645679354,0.3579318377517216
NEU,P1,2021-2040,1995-2014,internal_snr,3.43110656631045,1.720042070426129,6.107273422650991
NEU,P1,2021-2040,1995-2014,model_contribution,0.7978494804148843,0.1200660782206092,0.884883107696424
NEU,P1,2021-2040,1995-2014,total_sd,0.6373985987359315,0.316226103189442,0.7271544507645299
NEU,P1,2021-2040,1995-2014,total_snr,1.542665041111212,1.153329741206008,3.07337949737109
NEU,P2,2041-2060,1995-2014,exceedance_probability_2c,0.4316666666666666,0.036625,0.825
