model,region,period_id,period,baseline_period,member_count,model_ensemble_mean_warming,multimodel_mean_warming
ACCESS-ESM1-5,MED,P1,2021-2040,1995-2014,40,1.400644745681797,1.289165332304303
ACCESS-ESM1-5,MED,P2,2041-2060,1995-2014,40,2.457314010905871,2.409380449799053
ACCESS-ESM1-5,MED,P3,2081-2100,1995-2014,40,4.689608717039361,4.942720350165049
ACCESS-ESM1-5,NEU,P1,2021-2040,1995-2014,40,0.6493001421032212,0.9832925355231948
ACCESS-ESM1-5,NEU,P2,2041-2060,1995-2014,40,1.551980619957029,1.958772678707014
ACCESS-ESM1-5,NEU,P3,2081-2100,1995-2014,40,3.776301771334095,4.022265616806024
ACCESS-ESM1-5,WCE,P1,2021-2040,1995-2014,40,1.471569305720882,1.379338385632493
ACCESS-ESM1-5,WCE,P2,2041-2060,1995-2014,40,2.649408098832793,2.60553414848296
ACCESS-ESM1-5,WCE,P3,2081-2100,1995-2014,40,5.525621130450761,5.443779966256931
CESM2(CMIP6),MED,P1,2021-2040,1995-2014,50,0.954948495095701,1.289165332304303
CESM2(CMIP6),MED,P2,2041-2060,1995-2014,50,1.940079955690472,2.409380449799053
CESM2(CMIP6),MED,P3,2081-2100,1995-2014,50,4.19468213099269,4.942720350165049
CESM2(CMIP6),NEU,P1,2021-2040,1995-2014,50,0.3716474202966725,0.9832925355231948
CESM2(CMIP6),NEU,P2,2041-2060,1995-2014,50,1.094596166947464,1.958772678707014
CESM2(CMIP6),NEU,P3,2081-2100,1995-2014,50,2.237149987756828,4.022265616806024
CESM2(CMIP6),WCE,P1,2021-2040,1995-2014,50,1.002489572535205,1.379338385632493
CESM2(CMIP6),WCE,P2,2041-2060,1995-2014,50,2.180843813684292,2.60553414848296
CESM2(CMIP6),WCE,P3,2081-2100,1995-2014,50,4.748825068568827,5.443779966256931
CanESM5,MED,P1,2021-2040,1995-2014,25,1.723263452838786,1.289165332304303
CanESM5,MED,P2,2041-2060,1995-2014,25,3.113428681264685,2.409380449799053
CanESM5,MED,P3,2081-2100,1995-2014,25,6.216990380603312,4.942720350165049
CanESM5,NEU,P1,2021-2040,1995-2014,25,1.535441300767356,0.9832925355231948
CanESM5,NEU,P2,2041-2060,1995-2014,25,2.770186392633412,1.958772678707014
CanESM5,NEU,P3,2081-2100,1995-2014,25,5.428928740726681,4.022265616806024
CanESM5,WCE,P1,2021-2040,1995-2014,25,1.827168931089589,1.379338385632493
CanESM5,WCE,P2,2041-2060,1995-2014,25,3.317328693220869,2.60553414848296
CanESM5,WCE,P3,2081-2100,1995-2014,25,6.5557426529179,5.443779966256931
E3SMv2,MED,P1,2021-2040,1995-2014,21,1.5478235937747,1.289165332304303
E3SMv2,MED,P2,2041-2060,1995-2014,21,2.787944507307455,2.409380449799053
E3SMv2,MED,P3,2081-2100,1995-2014,21,5.806369193946967,4.942720350165049
E3SMv2,NEU,P1,2021-2040,1995-2014,21,1.642987157788372,0.9832925355231948
E3SMv2,NEU,P2,2041-2060,1995-2014,21,2.978438460355415,1.958772678707014
E3SMv2,NEU,P3,2081-2100,1995-2014,21,6.084409188462557,4.022265616806024
E3SMv2,WCE,P1,2021-2040,1995-2014,21,1.720294099038147,1.379338385632493
E3SMv2,WCE,P2,2041-2060,1995-2014,21,3.064020154493884,2.60553414848296
E3SMv2,WCE,P3,2081-2100,1995-2014,21,6.452510610164914,5.443779966256931
MPI-ESM1-2-LR,MED,P1,2021-2040,1995-2014,30,0.819146374130528,1.289165332304303
MPI-ESM1-2-LR,MED,P2,2041-2060,1995-2014,30,1.748135093826779,2.409380449799053
MPI-ESM1-2-LR,MED,P3,2081-2100,1995-2014,30,3.80595132824292,4.942720350165049
MPI-ESM1-2-LR,NEU,P1,2021-2040,1995-2014,30,0.7170866566603525,0.9832925355231948
MPI-ESM1-2-LR,NEU,P2,2041-2060,1995-2014,30,1.398661753641752,1.958772678707014
MPI-ESM1-2-LR,NEU,P3,2081-2100,1995-2014,30,2.584538395749958,4.022265616806024
MPI-ESM1-2-LR,WCE,P1,2021-2040,1995-2014,30,0.8751700197786448,1.379338385632493
MPI-ESM1-2-LR,WCE,P2,2041-2060,1995-2014,30,1.816069982182961,2.60553414848296
MPI-ESM1-2-LR,WCE,P3,2081-2100,1995-2014,30,3.936200369182251,5.443779966256931
