model,member,region,period_id,period,baseline_period,period_mean_jja_warming
ACCESS-ESM1-5,r10i1p1f1,MED,P1,2021-2040,1995-2014,1.5161459163583864
ACCESS-ESM1-5,r10i1p1f1,MED,P2,2041-2060,1995-2014,2.669049669519223
ACCESS-ESM1-5,r10i1p1f1,MED,P3,2081-2100,1995-2014,5.086945362738637
ACCESS-ESM1-5,r10i1p1f1,NEU,P1,2021-2040,1995-2014,0.7409885093504543
ACCESS-ESM1-5,r10i1p1f1,NEU,P2,2041-2060,1995-2014,2.2162987382547943
ACCESS-ESM1-5,r10i1p1f1,NEU,P3,2081-2100,1995-2014,4.243279336748232
ACCESS-ESM1-5,r10i1p1f1,WCE,P1,2021-2040,1995-2014,1.3468661278929717
ACCESS-ESM1-5,r10i1p1f1,WCE,P2,2041-2060,1995-2014,2.774643275088446
ACCESS-ESM1-5,r10i1p1f1,WCE,P3,2081-2100,1995-2014,6.090525807354748
ACCESS-ESM1-5,r11i1p1f1,MED,P1,2021-2040,1995-2014,1.3381503579733283
ACCESS-ESM1-5,r11i1p1f1,MED,P2,2041-2060,1995-2014,2.4714555118213033
ACCESS-ESM1-5,r11i1p1f1,MED,P3,2081-2100,1995-2014,4.440973930629257
ACCESS-ESM1-5,r11i1p1f1,NEU,P1,2021-2040,1995-2014,-0.018134782310709772
ACCESS-ESM1-5,r11i1p1f1,NEU,P2,2041-2060,1995-2014,0.9316804645474951
ACCESS-ESM1-5,r11i1p1f1,NEU,P3,2081-2100,1995-2014,3.50183260776343
ACCESS-ESM1-5,r11i1p1f1,WCE,P1,2021-2040,1995-2014,1.2671987664431936
ACCESS-ESM1-5,r11i1p1f1,WCE,P2,2041-2060,1995-2014,2.695873899267107
ACCESS-ESM1-5,r11i1p1f1,WCE,P3,2081-2100,1995-2014,5.558122832551686
ACCESS-ESM1-5,r12i1p1f1,MED,P1,2021-2040,1995-2014,1.700471169321494
ACCESS-ESM1-5,r12i1p1f1,MED,P2,2041-2060,1995-2014,2.845171996582931
ACCESS-ESM1-5,r12i1p1f1,MED,P3,2081-2100,1995-2014,5.251315391167205
ACCESS-ESM1-5,r12i1p1f1,NEU,P1,2021-2040,1995-2014,1.3029998583376632
ACCESS-ESM1-5,r12i1p1f1,NEU,P2,2041-2060,1995-2014,1.949412834080309
ACCESS-ESM1-5,r12i1p1f1,NEU,P3,2081-2100,1995-2014,4.595530237745893
ACCESS-ESM1-5,r12i1p1f1,WCE,P1,2021-2040,1995-2014,2.1547481967280775
ACCESS-ESM1-5,r12i1p1f1,WCE,P2,2041-2060,1995-2014,3.1167149883044862
ACCESS-ESM1-5,r12i1p1f1,WCE,P3,2081-2100,1995-2014,6.603159221244786
ACCESS-ESM1-5,r13i1p1f1,MED,P1,2021-2040,1995-2014,1.3178142863303783
ACCESS-ESM1-5,r13i1p1f1,MED,P2,2041-2060,1995-2014,2.455157939345277
ACCESS-ESM1-5,r13i1p1f1,MED,P3,2081-2100,1995-2014,4.370088929932598
ACCESS-ESM1-5,r13i1p1f1,NEU,P1,2021-2040,1995-2014,0.8809592535129316
ACCESS-ESM1-5,r13i1p1f1,NEU,P2,2041-2060,1995-2014,2.2967880538201557
ACCESS-ESM1-5,r13i1p1f1,NEU,P3,2081-2100,1995-2014,3.8581361744536444
ACCESS-ESM1-5,r13i1p1f1,WCE,P1,2021-2040,1995-2014,1.4171462189900779
ACCESS-ESM1-5,r13i1p1f1,WCE,P2,2041-2060,1995-2014,3.116691540338268
ACCESS-ESM1-5,r13i1p1f1,WCE,P3,2081-2100,1995-2014,5.091721349953426
ACCESS-ESM1-5,r14i1p1f1,MED,P1,2021-2040,1995-2014,1.3626406563942388
ACCESS-ESM1-5,r14i1p1f1,MED,P2,2041-2060,1995-2014,2.503133470327383
ACCESS-ESM1-5,r14i1p1f1,MED,P3,2081-2100,1995-2014,4.639044688210032
ACCESS-ESM1-5,r14i1p1f1,NEU,P1,2021-2040,1995-2014,0.95176703111662
ACCESS-ESM1-5,r14i1p1f1,NEU,P2,2041-2060,1995-2014,1.9866829608674668
ACCESS-ESM1-5,r14i1p1f1,NEU,P3,2081-2100,1995-2014,3.8289024304213912
ACCESS-ESM1-5,r14i1p1f1,WCE,P1,2021-2040,1995-2014,1.5634050395553472
ACCESS-ESM1-5,r14i1p1f1,WCE,P2,2041-2060,1995-2014,2.90731796444632
ACCESS-ESM1-5,r14i1p1f1,WCE,P3,2081-2100,1995-2014,5.4027070561455774
ACCESS-ESM1-5,r15i1p1f1,MED,P1,2021-2040,1995-2014,1.1223612872643092
ACCESS-ESM1-5,r15i1p1f1,MED,P2,2041-2060,1995-2014,2.098778409650912
ACCESS-ESM1-5,r15i1p1f1,MED,P3,2081-2100,1995-2014,4.42867455884309
ACCESS-ESM1-5,r15i1p1f1,NEU,P1,2021-2040,1995-2014,0.18070971492728488
ACCESS-ESM1-5,r15i1p1f1,NEU,P2,2041-2060,1995-2014,1.0216577101090487
ACCESS-ESM1-5,r15i1p1f1,NEU,P3,2081-2100,1995-2014,3.697632784660417
ACCESS-ESM1-5,r15i1p1f1,WCE,P1,2021-2040,1995-2014,0.5588218359570553
ACCESS-ESM1-5,r15i1p1f1,WCE,P2,2041-2060,1995-2014,2.01088032609253
ACCESS-ESM1-5,r15i1p1f1,WCE,P3,2081-2100,1995-2014,4.9892725192176215
ACCESS-ESM1-5,r16i1p1f1,MED,P1,2021-2040,1995-2014,1.4184270641766976
ACCESS-ESM1-5,r16i1p1f1,MED,P2,2041-2060,1995-2014,2.5207029534103853
ACCESS-ESM1-5,r16i1p1f1,MED,P3,2081-2100,1995-2014,4.510136915270799
ACCESS-ESM1-5,r16i1p1f1,NEU,P1,2021-2040,1995-2014,1.0880760460789474
ACCESS-ESM1-5,r16i1p1f1,NEU,P2,2041-2060,1995-2014,1.4722283519755295
ACCESS-ESM1-5,r16i1p1f1,NEU,P3,2081-2100,1995-2014,3.9132706769159404
ACCESS-ESM1-5,r16i1p1f1,WCE,P1,2021-2040,1995-2014,1.986537176241311
ACCESS-ESM1-5,r16i1p1f1,WCE,P2,2041-2060,1995-2014,2.8209734303816765
ACCESS-ESM1-5,r16i1p1f1,WCE,P3,2081-2100,1995-2014,5.5301973302805125
ACCESS-ESM1-5,r17i1p1f1,MED,P1,2021-2040,1995-2014,1.4864859988147905
ACCESS-ESM1-5,r17i1p1f1,MED,P2,2041-2060,1995-2014,2.445206925731207
ACCESS-ESM1-5,r17i1p1f1,MED,P3,2081-2100,1995-2014,4.646607301976722
ACCESS-ESM1-5,r17i1p1f1,NEU,P1,2021-2040,1995-2014,0.8070837719412637
ACCESS-ESM1-5,r17i1p1f1,NEU,P2,2041-2060,1995-2014,1.3841562381458015
ACCESS-ESM1-5,r17i1p1f1,NEU,P3,2081-2100,1995-2014,3.74981858889283
ACCESS-ESM1-5,r17i1p1f1,WCE,P1,2021-2040,1995-2014,1.5857205615471517
ACCESS-ESM1-5,r17i1p1f1,WCE,P2,2041-2060,1995-2014,2.6977529306153074
ACCESS-ESM1-5,r17i1p1f1,WCE,P3,2081-2100,1995-2014,5.43807697953225
ACCESS-ESM1-5,r18i1p1f1,MED,P1,2021-2040,1995-2014,1.2208255316152783
ACCESS-ESM1-5,r18i1p1f1,MED,P2,2041-2060,1995-2014,2.4087686935059116
ACCESS-ESM1-5,r18i1p1f1,MED,P3,2081-2100,1995-2014,4.606114383897944
ACCESS-ESM1-5,r18i1p1f1,NEU,P1,2021-2040,1995-2014,-0.010538889132301322
ACCESS-ESM1-5,r18i1p1f1,NEU,P2,2041-2060,1995-2014,0.8397186525803046
ACCESS-ESM1-5,r18i1p1f1,NEU,P3,2081-2100,1995-2014,3.446320497574251
ACCESS-ESM1-5,r18i1p1f1,WCE,P1,2021-2040,1995-2014,0.7812254321469585
ACCESS-ESM1-5,r18i1p1f1,WCE,P2,2041-2060,1995-2014,2.215868862559975
