region,period_id,period,baseline_period,threshold_c,exceedance_probability,multimodel_mean_warming,total_sd,total_snr
MED,P1,2021-2040,1995-2014,2,0.008,1.289165332304303,0.4221527416475925,3.0537888425713
MED,P1,2021-2040,1995-2014,3,0.0,1.289165332304303,0.4221527416475925,3.0537888425713
MED,P2,2041-2060,1995-2014,2,0.6910000000000001,2.409380449799053,0.6022756677440824,4.00046121541613
MED,P2,2041-2060,1995-2014,3,0.2156190476190476,2.409380449799053,0.6022756677440824,4.00046121541613
MED,P3,2081-2100,1995-2014,2,1.0,4.942720350165049,1.052899418050392,4.694389858546288
MED,P3,2081-2100,1995-2014,3,1.0,4.942720350165049,1.052899418050392,4.694389858546288
NEU,P1,2021-2040,1995-2014,2,0.0285714285714285,0.9832925355231948,0.6373985987359315,1.542665041111212
NEU,P1,2021-2040,1995-2014,3,0.0,0.9832925355231948,0.6373985987359315,1.542665041111212
NEU,P2,2041-2060,1995-2014,2,0.4316666666666666,1.958772678707014,0.9131140848067136,2.14515657057425
NEU,P2,2041-2060,1995-2014,3,0.1382857142857143,1.958772678707014,0.9131140848067136,2.14515657057425
NEU,P3,2081-2100,1995-2014,2,0.948,4.022265616806024,1.726752611621398,2.32938151634192
NEU,P3,2081-2100,1995-2014,3,0.6056666666666667,4.022265616806024,1.726752611621398,2.32938151634192
WCE,P1,2021-2040,1995-2014,2,0.084095238095238,1.379338385632493,0.519299401838547,2.656152463779146
WCE,P1,2021-2040,1995-2014,3,0.0,1.379338385632493,0.519299401838547,2.656152463779146
WCE,P2,2041-2060,1995-2014,2,0.77,2.60553414848296,0.6883533021748223,3.785169825220404
WCE,P2,2041-2060,1995-2014,3,0.3407619047619047,2.60553414848296,0.6883533021748223,3.785169825220404
WCE,P3,2081-2100,1995-2014,2,1.0,5.443779966256931,1.16895280585016,4.656971555235509
WCE,P3,2081-2100,1995-2014,3,1.0,5.443779966256931,1.16895280585016,4.656971555235509
