gauge_id,gauge_name,country,gauge_lon,gauge_lat,elev_mean,region,cross_region,dominant_share
2004,Murten,CH,7.12,46.93,644.6,Plateau,no,0.964
2007,Le_Pont,CH,6.32,46.67,1228.27,Jura,yes,0.796
2009,Porte_du_Scex,CH,6.89,46.35,2124.19,Alps West,no,0.893
2011,Sion,CH,7.36,46.22,2286.71,Alps West,no,0.991
2014,Schmerikon,CH,8.94,47.22,1331.63,Alps North,no,0.94
2016,Brugg,CH,8.19,47.48,1002.4,Plateau,yes,0.452
2017,Zug,CH,8.51,47.17,692.5,Plateau,yes,0.675
2018,Mellingen,CH,8.27,47.42,1257.46,Alps North,yes,0.747
2019,Brienzwiler,CH,8.09,46.75,2127.2,Alps North,no,1.0
2020,Bellinzona,CH,9.01,46.19,1679.21,Alps South,no,0.98
2021,Ponte_Tresa,CH,8.86,45.97,804.52,Alps South,yes,0.601
2022,Locarno,CH,8.8,46.16,1297.04,Alps South,yes,0.504
2023,Ringgenberg,CH,7.9,46.7,1940.45,Alps North,no,1.0
2024,Branson,CH,7.09,46.13,2230.63,Alps West,no,0.992
2025,Brunnen,CH,8.6,46.99,1876.9,Alps North,no,0.809
2026,Chillon,CH,6.93,46.41,1658.49,Alps West,yes,0.585
2027,St-Prex,CH,6.46,46.48,1658.49,Alps West,yes,0.585
2028,Genêve-Sécheron,CH,6.15,46.22,1658.49,Alps West,yes,0.585
2029,Brügg-Aegerten,CH,7.28,47.12,1144.17,Alps North,yes,0.469
2030,Thun,CH,7.61,46.76,1738.89,Alps North,no,0.994
2031,Unterägeri,CH,8.59,47.14,934.49,Alps North,no,1.0
2032,Romanshorn,CH,9.38,47.56,1308.93,Alps East,yes,0.41
2033,Ilanz,CH,9.21,46.78,2026.59,Alps East,no,0.982
2034,Payerne-Caserne_d'aviation,CH,6.94,46.84,723.4,Plateau,no,0.938
2041,Oberriet-Blatten,CH,9.57,47.31,1791.68,Alps East,yes,0.728
2043,Berlingen,CH,9.02,47.68,1268.96,Alps East,yes,0.389
2044,Andelfingen,CH,8.68,47.6,773.37,Plateau,yes,0.542
2053,Martigny-Pont_de_Rossettan,CH,7.06,46.1,2247.82,Alps West,no,1.0
2056,Seedorf,CH,8.62,46.88,2005.65,Alps North,yes,0.769
2063,Murgenthal,CH,7.83,47.27,1068.38,Alps North,yes,0.443
2066,St._Moritz,CH,9.85,46.5,2370.33,Alps East,no,1.0
2067,Martina,CH,10.47,46.89,2341.9,Alps East,no,0.871
2068,Riazzino,CH,8.91,46.16,1643.22,Alps South,no,0.981
2070,Emmenmatt,CH,7.75,46.95,1071.37,Alps North,no,1.0
2072,Sils_Baselgia,CH,9.75,46.43,2330.09,Alps East,no,1.0
2073,Silvaplana,CH,9.8,46.46,2393.72,Alps East,no,1.0
2074,Brissago,CH,8.71,46.12,1297.04,Alps South,yes,0.504
2078,Le_Prese,CH,10.08,46.3,2162.34,Alps South,no,0.996
2079,Le_Prese,CH,10.08,46.3,1435.7,Alps South,no,1.0
2081,Pfäffikon,CH,8.78,47.36,663.99,Plateau,no,1.0
2082,Greifensee,CH,8.67,47.36,556.35,Plateau,no,1.0
2084,Ingenbohl,CH,8.6,47.0,1363.49,Alps North,no,1.0
2085,Hagneck,CH,7.18,47.06,1367.24,Alps North,yes,0.752
2086,Loderio,CH,8.97,46.38,1812.18,Alps South,no,1.0
2087,Andermatt,CH,8.59,46.64,2276.53,Alps East,no,0.91
2088,Sarnen,CH,8.24,46.89,1283.98,Alps North,no,1.0
2091,Rheinfelden-Messstation,CH,7.8,47.56,1071.33,Plateau,yes,0.287
2093,Spiez-Kraftwerk_BKW,CH,7.66,46.7,1742.46,Alps North,no,0.997
2097,Meisterschwanden,CH,8.22,47.3,579.57,Plateau,no,1.0
2099,Zürich-Unterhard,CH,8.53,47.39,1193.35,Alps North,yes,0.8
2101,Melide-Ferrera,CH,8.95,45.97,906.4,Alps South,yes,0.378
2102,Sarnen,CH,8.25,46.9,1281.43,Alps North,no,1.0
2104,Weesen-Biäsche,CH,9.09,47.13,1579.67,Alps North,no,1.0
2105,St._Moritzbad,CH,9.83,46.48,2394.01,Alps East,no,1.0
2106,Münchenstein-Hofmatt,CH,7.62,47.52,733.04,Jura,no,0.961
2109,Gsteig,CH,7.87,46.66,2039.2,Alps North,no,1.0
2110,Mühlau-Hünenberg,CH,8.4,47.22,1368.64,Alps North,no,0.843
2112,Appenzell,CH,9.41,47.33,1253.32,Alps North,no,1.0
2113,Felsenau-K.W._Klingnau,CH,8.23,47.59,1061.68,Alps North,yes,0.496
2116,Koblenz,CH,8.23,47.61,1105.82,Alps East,yes,0.281
2117,Le_Châble-Villette,CH,7.21,46.08,2601.43,Alps West,no,1.0
2118,Murg,CH,9.21,47.11,1580.36,Alps North,no,1.0
2119,Fribourg,CH,7.17,46.8,1249.85,Alps North,yes,0.78
2122,Moutier-La_Charrue,CH,7.38,47.28,927.35,Jura,no,1.0
2125,Frauenthal,CH,8.42,47.22,680.7,Plateau,yes,0.69
2126,Wängi,CH,8.95,47.5,653.6,Plateau,no,0.951
2130,Laufenburg,CH,8.05,47.56,1078.15,Alps North,yes,0.289
2132,Neftenbach,CH,8.65,47.52,658.48,Plateau,no,0.837
2135,Bern-Schönau,CH,7.45,46.93,1590.98,Alps North,no,0.899
2137,Gelfingen,CH,8.27,47.21,585.38,Plateau,no,1.0
2139,St._Margrethen,CH,9.66,47.45,717.8,Plateau,yes,0.771
2141,Tiefencastel,CH,9.57,46.66,2126.13,Alps East,no,1.0
2143,Rekingen,CH,8.33,47.57,1135.56,Alps East,yes,0.304
2150,Felsenbach,CH,9.61,46.97,1797.79,Alps East,no,1.0
2151,Oberwil,CH,7.44,46.66,1638.07,Alps North,no,1.0
2152,Luzern-Geissmattbrücke,CH,8.3,47.05,1499.73,Alps North,no,0.904
2154,Grandson,CH,6.64,46.81,774.47,Plateau,yes,0.559
2155,Wiler-Limpachmündung,CH,7.55,47.16,870.53,Alps North,yes,0.632
2157,Gerlafingen,CH,7.56,47.16,481.37,Plateau,no,1.0
2159,Belp-Mülimatt,CH,7.5,46.89,851.29,Plateau,yes,0.544
2160,Broc-Château_d'en_bas,CH,7.09,46.6,1500.59,Alps North,no,1.0
2161,Blatten_bei_Naters,CH,8.01,46.39,2929.36,Alps West,no,1.0
2167,Ponte_Tresa-Rocchetta,CH,8.85,45.97,804.3,Alps South,yes,0.601
2168,Sempach,CH,8.19,47.13,586.38,Plateau,no,1.0
2170,Genève-Bout_du_Monde,CH,6.16,46.18,1373.77,Alps North,no,0.0
2174,Chancy-Aux_Ripes,CH,5.97,46.15,1569.92,Alps West,yes,0.454
2176,Zürich-Sihlhölzli,CH,8.53,47.37,1046.83,Alps North,yes,0.731
2179,Thörishaus-Sensematt,CH,7.35,46.89,1075.48,Alps North,yes,0.589
2181,Halden,CH,9.21,47.51,913.5,Alps North,yes,0.714
2185,Chur,CH,9.51,46.86,1864.17,Alps East,no,1.0
2187,Salez,CH,9.51,47.24,1009.2,Alps North,no,1.0
2199,Basel,CH,7.6,47.58,714.92,Plateau,no,0.0
2200,Zweilütschinen,CH,7.9,46.63,2147.98,Alps North,no,1.0
2202,Liestal,CH,7.73,47.49,591.39,Jura,no,1.0
2203,Aigle,CH,6.97,46.32,1564.23,Alps North,no,1.0
2205,Untersiggenthal-Stilli,CH,8.23,47.52,1066.12,Alps North,yes,0.5
2206,Melera_(Valle_Morobbia),CH,9.08,46.17,1433.19,Alps South,no,1.0
2207,Luzern,CH,8.32,47.05,1504.16,Alps North,no,0.903
2208,Ligerz-klein_Twann,CH,7.15,47.09,1145.23,Alps North,yes,0.47
2209,Zürich_(Zürichhorn),CH,8.55,47.35,1223.37,Alps North,no,0.816
2210,Ocourt,CH,7.08,47.35,960.04,Jura,yes,0.306
2215,Laupen,CH,7.23,46.91,1140.78,Alps North,yes,0.644
2217,Chancy-Vers_Vaux,CH,5.96,46.13,1560.3,Alps West,yes,0.449
2219,Oberried_/_Lenk,CH,7.47,46.43,2331.06,Alps North,no,1.0
2232,Adelboden,CH,7.55,46.49,1857.5,Alps North,no,1.0
2239,Punt_dal_Gall,CH,10.19,46.63,2389.85,Alps East,no,0.0
2243,Baden-Limmatpromenade,CH,8.31,47.48,1131.03,Alps North,yes,0.726
2244,Klusmatten,CH,8.02,46.22,2265.22,Alps South,no,1.0
2247,Sortie_du_lac_des_Brenets,CH,6.71,47.08,985.29,Jura,no,0.0
2251,Plaffeien-Schwyberg,CH,7.28,46.69,1459.82,Alps North,no,1.0
2252,Plaffeien-Schwyberg,CH,7.29,46.69,1448.92,Alps North,no,1.0
2256,Pontresina,CH,9.9,46.49,2700.58,Alps East,no,1.0
2262,Pontresina,CH,9.91,46.49,2608.75,Alps East,no,1.0
2263,La_Punt-Chamues-ch,CH,9.94,46.57,2544.42,Alps East,no,1.0
2265,Tarasp,CH,10.28,46.79,2383.15,Alps East,no,0.843
2268,Gletsch,CH,8.36,46.56,2701.55,Alps West,no,1.0
2269,Blatten,CH,7.82,46.42,2615.39,Alps West,no,1.0
2270,Combe_des_Sarrasins,CH,6.88,47.2,985.12,Jura,no,0.0
2276,Isenthal,CH,8.56,46.91,1811.45,Alps North,no,1.0
2282,Wasen-Kurzeneialp,CH,7.84,47.02,1075.41,Alps North,no,1.0
2283,Wasen-Riedbad,CH,7.89,47.02,1145.42,Alps North,no,1.0
2288,Neuhausen-Flurlingerbrücke,CH,8.63,47.68,1244.54,Alps East,yes,0.376
2289,Basel-Rheinhalle,CH,7.62,47.56,1055.6,Plateau,yes,0.28
2290,St-Sulpice,CH,6.56,46.91,1117.45,Jura,no,0.941
2299,Erstfeld-Bodenberg,CH,8.6,46.81,2186.07,Alps North,no,1.0
2300,Euthal-Rüti,CH,8.81,47.08,1351.59,Alps North,no,1.0
