gauge_id,country,region,dominant_share,second_region,second_share,foen_coverage,cross_region,assign_method
2004,CH,Plateau,0.964,Alps North,0.036,1.0,no,overlay
2007,CH,Jura,0.796,,0.0,0.796,yes,overlay
2009,CH,Alps West,0.893,Alps North,0.098,0.991,no,overlay
2011,CH,Alps West,0.991,Alps North,0.008,1.0,no,overlay
2014,CH,Alps North,0.94,Plateau,0.06,1.0,no,overlay
2016,CH,Plateau,0.452,Alps North,0.386,0.99,yes,overlay
2017,CH,Plateau,0.675,Alps North,0.325,1.0,yes,overlay
2018,CH,Alps North,0.747,Plateau,0.196,1.0,yes,overlay
2019,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2020,CH,Alps South,0.98,Alps East,0.019,0.998,no,overlay
2021,CH,Alps South,0.601,,0.0,0.601,yes,overlay
2022,CH,Alps South,0.504,Alps East,0.004,0.509,yes,overlay
2023,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2024,CH,Alps West,0.992,Alps North,0.008,1.0,no,overlay
2025,CH,Alps North,0.809,Alps East,0.174,1.0,no,overlay
2026,CH,Alps West,0.585,Plateau,0.116,0.847,yes,overlay
2027,CH,Alps West,0.585,Plateau,0.116,0.847,yes,overlay
2028,CH,Alps West,0.585,Plateau,0.116,0.847,yes,overlay
2029,CH,Alps North,0.469,Plateau,0.352,0.986,yes,overlay
2030,CH,Alps North,0.994,Plateau,0.006,1.0,no,overlay
2031,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2032,CH,Alps East,0.41,Plateau,0.058,0.49,yes,overlay
2033,CH,Alps East,0.982,Alps South,0.018,1.0,no,overlay
2034,CH,Plateau,0.938,Alps North,0.062,1.0,no,overlay
2041,CH,Alps East,0.728,Alps North,0.032,0.763,yes,overlay
2043,CH,Alps East,0.389,Plateau,0.063,0.475,yes,overlay
2044,CH,Plateau,0.542,Alps North,0.458,1.0,yes,overlay
2053,CH,Alps West,1.0,,0.0,1.0,no,overlay
2056,CH,Alps North,0.769,Alps East,0.211,1.0,yes,overlay
2063,CH,Alps North,0.443,Plateau,0.399,0.989,yes,overlay
2066,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2067,CH,Alps East,0.871,Alps South,0.0,0.871,no,overlay
2068,CH,Alps South,0.981,Alps East,0.018,0.998,no,overlay
2070,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2072,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2073,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2074,CH,Alps South,0.504,Alps East,0.004,0.509,yes,overlay
2078,CH,Alps South,0.996,Alps East,0.0,0.996,no,overlay
2079,CH,Alps South,1.0,,0.0,1.0,no,overlay
2081,CH,Plateau,1.0,Alps North,0.0,1.0,no,overlay
2082,CH,Plateau,1.0,Alps North,0.0,1.0,no,overlay
2084,CH,Alps North,1.0,,0.0,1.0,no,overlay
2085,CH,Alps North,0.752,Plateau,0.248,1.0,yes,overlay
2086,CH,Alps South,1.0,Alps East,0.0,1.0,no,overlay
2087,CH,Alps East,0.91,Alps South,0.09,1.0,no,overlay
2088,CH,Alps North,1.0,,0.0,1.0,no,overlay
2091,CH,Plateau,0.287,Alps North,0.286,0.769,yes,overlay
2093,CH,Alps North,0.997,Plateau,0.003,1.0,no,overlay
2097,CH,Plateau,1.0,,0.0,1.0,no,overlay
2099,CH,Alps North,0.8,Plateau,0.2,1.0,yes,overlay
2101,CH,Alps South,0.378,,0.0,0.378,yes,overlay
2102,CH,Alps North,1.0,,0.0,1.0,no,overlay
2104,CH,Alps North,1.0,Alps East,0.0,1.0,no,overlay
2105,CH,Alps East,1.0,Alps South,0.0,1.0,no,overlay
2106,CH,Jura,0.961,Plateau,0.018,0.978,no,overlay
2109,CH,Alps North,1.0,Alps West,0.0,1.0,no,overlay
2110,CH,Alps North,0.843,Plateau,0.09,1.0,no,overlay
2112,CH,Alps North,1.0,Plateau,0.0,1.0,no,overlay
2113,CH,Alps North,0.496,Plateau,0.386,0.994,yes,overlay
2116,CH,Alps East,0.281,Plateau,0.184,0.542,yes,overlay
2117,CH,Alps West,1.0,,0.0,1.0,no,overlay
2118,CH,Alps North,1.0,Alps East,0.0,1.0,no,overlay
2119,CH,Alps North,0.78,Plateau,0.22,1.0,yes,overlay
2122,CH,Jura,1.0,,0.0,1.0,no,overlay
2125,CH,Plateau,0.69,Alps North,0.31,1.0,yes,overlay
2126,CH,Plateau,0.951,Alps North,0.049,1.0,no,overlay
2130,CH,Alps North,0.289,Plateau,0.289,0.773,yes,overlay
2132,CH,Plateau,0.837,Alps North,0.163,1.0,no,overlay
2135,CH,Alps North,0.899,Plateau,0.101,1.0,no,overlay
2137,CH,Plateau,1.0,,0.0,1.0,no,overlay
2139,CH,Plateau,0.771,Alps North,0.229,1.0,yes,overlay
2141,CH,Alps East,1.0,,0.0,1.0,no,overlay
