year,Jura,Black Forest,Plateau,Alps North,Alps West,Alps South,Alps East
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,1.6,0.0,0.0,0.0
1995,0.0,0.0,0.0,1.6,0.0,0.0,0.0
1996,0.0,0.0,0.0,1.6,0.0,0.0,0.0
1997,0.0,0.0,0.0,1.6,0.0,0.0,0.0
1998,0.0,0.0,0.0,1.6,0.0,0.0,0.0
1999,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2000,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2001,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2002,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2003,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2004,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2005,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2006,0.0,0.0,0.0,1.6,0.0,0.0,3.4
2007,0.0,0.0,5.4,1.6,0.0,5.0,3.4
2008,0.0,0.0,5.4,1.6,0.0,5.0,3.4
2009,0.0,0.0,5.4,1.6,0.0,5.0,3.4
2010,0.0,0.0,8.1,1.6,0.0,5.0,3.4
2011,0.0,0.0,8.1,1.6,0.0,5.0,3.4
2012,0.0,0.0,8.1,1.6,0.0,5.0,3.4
2013,0.0,0.0,8.1,1.6,0.0,10.0,3.4
2014,0.0,4.3,8.1,1.6,7.1,10.0,3.4
2015,0.0,4.3,8.1,3.2,14.3,10.0,3.4
2016,0.0,4.3,13.5,3.2,14.3,10.0,3.4
2017,0.0,4.3,13.5,3.2,21.4,10.0,3.4
2018,8.7,4.3,13.5,3.2,21.4,10.0,3.4
2019,8.7,4.3,16.2,4.8,21.4,10.0,3.4
2020,8.7,4.3,18.9,4.8,21.4,10.0,3.4
2021,8.7,4.3,21.6,6.3,21.4,10.0,3.4
2022,8.7,13.0,24.3,9.5,21.4,10.0,3.4
2023,8.7,13.0,29.7,11.1,21.4,10.0,3.4
2024,8.7,13.0,29.7,12.7,21.4,10.0,3.4
2025,8.7,17.4,32.4,12.7,28.6,10.0,3.4
2026,8.7,17.4,32.4,12.7,28.6,10.0,3.4
2027,13.0,17.4,35.1,14.3,28.6,10.0,3.4
2028,17.4,17.4,40.5,17.5,28.6,10.0,3.4
2029,21.7,17.4,40.5,19.0,28.6,10.0,3.4
2030,26.1,17.4,40.5,19.0,28.6,10.0,3.4
2031,26.1,17.4,40.5,19.0,28.6,10.0,3.4
2032,26.1,17.4,40.5,19.0,28.6,10.0,3.4
2033,34.8,17.4,40.5,19.0,28.6,10.0,3.4
2034,39.1,17.4,40.5,20.6,28.6,10.0,3.4
2035,43.5,21.7,43.2,20.6,28.6,10.0,3.4
2036,52.2,21.7,45.9,22.2,28.6,10.0,3.4
2037,56.5,30.4,48.6,22.2,35.7,10.0,3.4
2038,60.9,30.4,48.6,22.2,35.7,10.0,6.9
2039,60.9,34.8,48.6,23.8,35.7,10.0,6.9
2040,60.9,34.8,51.4,25.4,35.7,10.0,10.3
2041,60.9,39.1,56.8,27.0,35.7,10.0,10.3
2042,60.9,39.1,56.8,27.0,35.7,10.0,10.3
2043,65.2,39.1,56.8,28.6,35.7,10.0,10.3
2044,69.6,39.1,56.8,30.2,35.7,10.0,10.3
2045,73.9,39.1,56.8,31.7,35.7,10.0,10.3
2046,78.3,39.1,56.8,31.7,35.7,10.0,10.3
2047,78.3,39.1,56.8,31.7,35.7,10.0,10.3
2048,78.3,39.1,59.5,31.7,35.7,10.0,10.3
2049,78.3,43.5,59.5,31.7,35.7,10.0,10.3
2050,78.3,43.5,62.2,31.7,35.7,10.0,10.3
2051,82.6,43.5,62.2,31.7,35.7,10.0,10.3
2052,82.6,43.5,62.2,31.7,35.7,10.0,13.8
2053,82.6,43.5,62.2,31.7,35.7,10.0,13.8
2054,82.6,43.5,62.2,33.3,35.7,10.0,17.2
2055,82.6,43.5,64.9,34.9,35.7,15.0,17.2
2056,82.6,43.5,64.9,34.9,35.7,15.0,17.2
2057,82.6,43.5,64.9,34.9,35.7,15.0,17.2
2058,82.6,43.5,64.9,34.9,35.7,15.0,20.7
2059,82.6,43.5,64.9,34.9,35.7,15.0,24.1
2060,82.6,43.5,67.6,34.9,35.7,15.0,24.1
2061,82.6,47.8,73.0,34.9,35.7,15.0,24.1
2062,82.6,47.8,75.7,34.9,35.7,15.0,27.6
2063,87.0,47.8,75.7,34.9,42.9,15.0,27.6
2064,87.0,47.8,75.7,34.9,42.9,15.0,27.6
2065,87.0,47.8,75.7,34.9,50.0,15.0,27.6
2066,87.0,47.8,75.7,34.9,50.0,15.0,27.6
2067,87.0,52.2,78.4,38.1,50.0,15.0,27.6
2068,87.0,52.2,78.4,39.7,50.0,20.0,31.0
2069,87.0,56.5,78.4,39.7,50.0,20.0,31.0
2070,87.0,60.9,81.1,39.7,50.0,20.0,31.0
2071,87.0,60.9,81.1,42.9,50.0,20.0,31.0
2072,87.0,65.2,83.8,42.9,50.0,25.0,31.0
2073,87.0,65.2,83.8,42.9,50.0,25.0,31.0
2074,87.0,65.2,83.8,42.9,50.0,25.0,31.0
2075,87.0,65.2,83.8,42.9,50.0,25.0,31.0
2076,87.0,65.2,83.8,44.4,50.0,25.0,34.5
2077,87.0,65.2,83.8,46.0,50.0,25.0,37.9
2078,87.0,65.2,83.8,47.6,57.1,25.0,37.9
2079,87.0,65.2,83.8,47.6,57.1,25.0,37.9
2080,87.0,65.2,83.8,47.6,57.1,25.0,37.9
2081,87.0,65.2,83.8,50.8,57.1,25.0,37.9
2082,87.0,65.2,83.8,50.8,57.1,25.0,37.9
2083,87.0,65.2,83.8,52.4,57.1,25.0,37.9
2084,87.0,65.2,83.8,52.4,57.1,25.0,37.9
2085,87.0,65.2,86.5,52.4,57.1,25.0,41.4
2086,87.0,65.2,86.5,52.4,57.1,25.0,41.4
2087,87.0,65.2,89.2,52.4,57.1,25.0,44.8
2088,87.0,65.2,89.2,52.4,57.1,25.0,44.8
2089,87.0,65.2,89.2,52.4,57.1,30.0,44.8
2090,87.0,65.2,89.2,52.4,57.1,30.0,44.8
2091,87.0,65.2,89.2,54.0,57.1,40.0,48.3
2092,87.0,65.2,89.2,54.0,57.1,40.0,48.3
2093,87.0,65.2,89.2,54.0,57.1,40.0,48.3
2094,87.0,65.2,89.2,54.0,57.1,40.0,48.3
2095,87.0,65.2,89.2,55.6,57.1,40.0,51.7
2096,87.0,65.2,89.2,57.1,57.1,40.0,51.7
2097,87.0,65.2,89.2,57.1,57.1,40.0,51.7
2098,87.0,65.2,89.2,57.1,57.1,40.0,51.7
2099,87.0,65.2,89.2,58.7,57.1,40.0,51.7
2100,87.0,65.2,89.2,58.7,57.1,40.0,51.7
