gauge_id,region,season,n_valid,noise_sd,trend_per_decade,mk_pvalue,direction,emerge_year,emerge_type,insufficient
2009,Alps West,DJF,39,0.1652249517552242,0.02993866264454493,0.4679538135260932,increase,2047,forecast,False
2009,Alps West,MAM,40,0.46267706048643065,-0.03817523748629914,0.6495478982562364,decrease,,none,False
2009,Alps West,JJA,40,0.7216220868501766,-0.12659161490683235,0.18798383813865382,decrease,2048,forecast,False
2009,Alps West,SON,40,0.40576787211832155,-0.1377696617108382,0.01002752644631788,decrease,2020,observed,False
2011,Alps West,DJF,39,0.1216000311212619,-0.013761904761904198,0.4829170444568125,decrease,2080,forecast,False
2011,Alps West,MAM,40,0.3865798948746802,-0.012956521739130384,0.7887194899032053,decrease,,none,False
2011,Alps West,JJA,40,0.7590296014162129,-0.1277716342118519,0.16560248483061546,decrease,2050,forecast,False
2011,Alps West,SON,40,0.40556195539478934,-0.1395086996336995,0.006633762413644773,decrease,2020,observed,False
2016,Plateau,DJF,39,0.5209036188340084,-0.010486111111110974,0.9037158067879054,decrease,,none,False
2016,Plateau,MAM,40,0.7452346205169812,-0.11673669175027879,0.23011737495822127,decrease,2055,forecast,False
2016,Plateau,JJA,40,0.5164024019268135,-0.10959571119417674,0.15860607706086882,decrease,2038,forecast,False
2016,Plateau,SON,40,0.43545312513431017,-0.14890396062271052,0.03299539466933643,decrease,2020,observed,False
2018,Alps North,DJF,39,0.3954423743339741,0.03821759259259261,0.5452829029299784,increase,2095,forecast,False
2018,Alps North,MAM,40,0.8777103803328073,-0.018099838969404054,0.8980212621322816,decrease,,none,False
2018,Alps North,JJA,40,0.9286649625677624,-0.11478165522501987,0.2211942719822526,decrease,2072,forecast,False
2018,Alps North,SON,40,0.724647931117055,0.02845671871987662,0.8067106222830902,increase,,none,False
2019,Alps North,DJF,39,0.24391723248943556,-0.042946438746438886,0.4981364283916774,decrease,2048,forecast,False
2019,Alps North,MAM,40,0.8840330849184274,0.09010311529503118,0.43502642785483836,increase,2089,forecast,False
2019,Alps North,JJA,40,1.1494452473646903,-0.10825543478260938,0.4488598208640493,decrease,2097,forecast,False
2019,Alps North,SON,40,0.7720208062455289,0.01263736263736312,0.7530821359358961,increase,,none,False
2020,Alps South,DJF,39,0.35207805085141763,0.07639682539682555,0.29818612881587514,increase,2038,forecast,False
2020,Alps South,MAM,40,1.1949755585541308,-0.05310420513681358,0.770840345264592,decrease,,none,False
2020,Alps South,JJA,40,1.3112229117229846,-0.22803170656574562,0.33352610308834585,decrease,2049,forecast,False
2020,Alps South,SON,40,2.176947197638033,-0.10201515517449612,0.7887194899032053,decrease,,none,False
2024,Alps West,DJF,39,0.15538867034733492,0.019572390572390547,0.5452829029299784,increase,2071,forecast,False
2024,Alps West,MAM,40,0.4336823188162411,0.005622529644268318,0.9349988039705048,increase,,none,False
2024,Alps West,JJA,40,0.7639538728961872,-0.0727866438854151,0.43502642785483836,decrease,2096,forecast,False
2024,Alps West,SON,40,0.48461916969468066,-0.15252676810369112,0.031127310111324746,decrease,2023,forecast,False
2029,Alps North,DJF,39,0.5074706342148726,0.011953357753358596,0.8276288084144703,increase,,none,False
2029,Alps North,MAM,40,0.8135346178692916,-0.11707717391304362,0.28903354254194413,decrease,2060,forecast,False
2029,Alps North,JJA,40,0.5909666708194077,-0.1447801932367138,0.07093234307299712,decrease,2032,forecast,False
2029,Alps North,SON,40,0.47006483314668834,-0.1563802019481531,0.026057912231692626,decrease,2021,forecast,False
2030,Alps North,DJF,39,0.30930013176570254,-0.03134139934139916,0.6114052024347298,decrease,2090,forecast,False
2030,Alps North,MAM,40,0.9636406763406397,-0.029418060200669012,0.7530821359358961,decrease,,none,False
2030,Alps North,JJA,40,0.8496637285909361,-0.15137010869565187,0.18798383813865382,decrease,2047,forecast,False
2030,Alps North,SON,40,0.5030125279028249,-0.06405716902145467,0.2997628531295813,decrease,2070,forecast,False
2033,Alps East,DJF,39,0.2905161187299511,0.05207168458781352,0.3706969845683532,increase,2047,forecast,False
2033,Alps East,MAM,40,0.6583081741009507,0.039707729468598726,0.7354536181171747,increase,,none,False
2033,Alps East,JJA,40,1.3039784903736031,-0.2529184782608709,0.05754887969139322,decrease,2043,forecast,False
