gauge_id,region,n_quarters_valid,noise_sd,ref_trend_mean,trend_slope_per_decade,mk_pvalue,direction,snr_max_abs,snr1_year,snr1_type,snr2_year,snr2_type,insufficient
2009,Alps West,159,0.40454226477697003,3.1033267457207985,-0.05442264181633896,0.06068047266543353,decrease,1.4628594735444882,2063,forecast,,none,False
2011,Alps West,159,0.38163652143025145,2.762389813858366,-0.02439602079725623,0.35734719361075706,decrease,1.3228917526804465,,none,,none,False
2016,Plateau,159,0.41548834422166026,2.3875107789687533,-0.1179535123464643,0.0007594964414427974,decrease,1.861361611082793,2020,observed,2055,forecast,False
2018,Alps North,159,0.623225560280733,3.55273814312623,-0.00984999384894854,0.8248046168337546,decrease,2.5530665445002114,,none,,none,False
2019,Alps North,159,0.7013901165136517,5.679575713835538,-0.05878379688121049,0.1328433096626911,decrease,2.1346605150235956,,none,,none,False
2020,Alps South,159,1.2714022709954627,3.5691238299481003,0.02755356350411789,0.842992183820956,increase,1.719506488427971,,none,,none,False
2024,Alps West,159,0.41405480583948084,3.308822533153967,-0.014286246605872114,0.5680669608513922,decrease,1.4025437194832804,,none,,none,False
2029,Alps North,159,0.480374812155423,2.59338239606975,-0.1267023879676474,0.0008984192256535906,decrease,1.4837345652822496,2024,forecast,2062,forecast,False
2030,Alps North,159,0.6385292016687154,3.9468822567042188,-0.0889221848885397,0.0037184616413938887,decrease,2.054620308728264,2054,forecast,,none,False
2033,Alps East,159,0.8433181563171884,3.6969202947844466,-0.04147408007446434,0.35734719361075706,decrease,1.2078263184958455,,none,,none,False
2034,Plateau,159,0.5350617261180151,1.733393583157722,-0.19363650346993394,8.622720154738417e-05,decrease,1.664494372432135,2016,observed,2044,forecast,False
2044,Plateau,159,0.7116412940009723,2.3155927202002635,-0.06907446416912914,0.18798383813865382,decrease,1.750497391955127,2085,forecast,,none,False
2053,Alps West,119,,,,,none,,,none,,none,True
2056,Alps North,159,0.6946712661084669,4.403362245241481,-0.04677402796540414,0.3696497329509345,decrease,2.3864920021036853,,none,,none,False
2063,Alps North,159,0.4696228983913587,2.5487031044466915,-0.12559842256109732,0.0014690324003254762,decrease,1.4941970442427133,2021,forecast,2058,forecast,False
2067,Alps East,159,0.47275491408174897,2.375997927427292,-0.04150671349220399,0.19591947802979215,decrease,1.3320482248985215,2095,forecast,,none,False
2068,Alps South,113,,,,,none,,,none,,none,True
2070,Alps North,159,0.6690297379200694,2.165134171039884,-0.08552333397303788,0.0785255109265468,decrease,1.9809680037770645,2076,forecast,,none,False
2078,Alps South,159,0.8288963233796092,2.91715392401618,-0.1014241749576833,0.10534105856467724,decrease,1.2632916315362495,2072,forecast,,none,False
2079,Alps South,159,5.607421511992926,12.282857143509993,-1.4622594999594734,0.2125219354050587,decrease,2.884098948096218,2013,observed,2051,forecast,False
2084,Alps North,159,1.2826288379209827,5.04888606926926,0.11883808137616207,0.1328433096626911,increase,2.2062743877051982,,none,,none,False
2085,Alps North,147,0.5511181067268985,2.9159915688951847,-0.06678311493508635,0.14656951458927425,decrease,1.4774301612734753,2067,forecast,,none,False
2086,Alps South,159,0.6708956782616393,0.9680772275351078,-0.06850259900978353,0.03918554717058398,decrease,1.0575694503612874,2091,forecast,,none,False
2087,Alps East,159,0.8133934465023,3.176353880005806,-0.07659193801910164,0.13895829457075304,decrease,1.3847198636855802,2087,forecast,,none,False
2091,Plateau,159,0.4314210909153195,2.6335961521143263,-0.06278076864440726,0.09569390835163927,decrease,2.5771325383616537,2041,forecast,,none,False
2099,Alps North,159,0.8091790255211957,3.733215752337119,-0.009340748639372948,0.9349988039705048,decrease,2.246108638072446,,none,,none,False
2102,Alps North,159,0.7803650914832628,3.2926660253369127,-0.09070610188236067,0.016919053992785038,decrease,1.9387364866811396,2071,forecast,,none,False
2104,Alps North,159,0.8971885846529274,4.201487045148474,-0.0082308446426924,0.8796101413969479,decrease,2.2210194745348084,,none,,none,False
2105,Alps East,159,0.7818364505057692,3.086092869266653,-0.08569097093677003,0.1269387713465171,decrease,1.1235241418124609,2085,forecast,,none,False
2106,Jura,159,0.4534930043500135,1.5323829324238354,-0.07042304975315654,0.15183576182655356,decrease,2.356163225797649,2044,forecast,,none,False
2109,Alps North,159,0.5717439377694608,4.3637648562932005,-0.053674924140414006,0.10534105856467724,decrease,2.725516881289724,2077,forecast,,none,False
2110,Alps North,159,0.6598889475297891,3.8461533264481895,-0.004241404777123561,0.8612638836213089,decrease,2.639132645921947,,none,,none,False
2112,Alps North,159,1.124867390765747,3.977963468785135,-0.11857896785885536,0.19591947802979215,decrease,1.4985357117109401,2081,forecast,,none,False
