region,gauge_id,snr1_year,snr1_type,snr2_year,snr2_type,trend_per_decade,mk_pvalue
Jura,5032,2036,forecast,2087,forecast,-0.1469464466808995,0.015547224241134305
Jura,2270,2038,forecast,2088,forecast,-0.1625710909401174,0.03475180940193767
Jura,2480,2033,forecast,2085,forecast,-0.1747282559642449,0.00431041611784333
Black Forest,4006,2070,forecast,,none,0.06308478803783901,0.32017406683149163
Black Forest,4009,2022,forecast,2043,forecast,0.04856245449147033,0.17765391067092295
Black Forest,4008,2022,forecast,2043,forecast,0.05032548320855394,0.17765391067092295
Plateau,2309,2007,observed,2021,forecast,2.1881631649737687,0.0007594964414427974
Plateau,2157,2007,observed,2024,forecast,0.17787960875884454,0.019188016537287966
Plateau,3007,2061,forecast,,none,0.17880022467325116,0.01916725204321512
Alps North,2410,2095,forecast,,none,0.06847553733847331,0.27856604965694465
Alps North,2219,2034,forecast,2073,forecast,0.22252549501968213,0.0003477361743082774
Alps North,2491,2068,forecast,,none,0.1516284558775521,0.24695545939811314
Alps West,2161,2017,observed,2041,forecast,0.45340599253861463,1.1828951169690072e-06
Alps West,5031,2078,forecast,,none,0.20470661282489405,0.011100318653191055
Alps West,2351,2065,forecast,,none,-0.04169684021515304,0.10534105856467724
Alps South,2463,2007,observed,2027,forecast,0.3044373692381922,0.0009763906195980887
Alps South,2368,2089,forecast,,none,0.19139175115258933,0.09932636867264089
Alps South,2356,2091,forecast,,none,0.21082008897710353,0.16560248483061546
Alps East,2256,2054,forecast,,none,-0.1374417122456129,0.0004946086148123197
Alps East,2239,1999,observed,2008,observed,-0.0171923288112138,5.835804847142967e-06
Alps East,2403,2040,forecast,2092,forecast,-0.05685418634547141,0.00010454474945054137
