"Biome Class","TPR","Frequency"
"Cold Deciduous Forest","0.7932","237"
"Cold Evergreen Needleleaf Forest","0.9684","918"
"Cool Evergreen Needleleaf Forest","0.7777","153"
"Cool Mixed Forest","0.9660","1501"
"Cool Temperate Evergreen Needleleaf and Mixed Forest","0.7272","66"
"Cool Temperate Rainforest","0.9056","212"
"Desert","0.8461","286"
"Erect Dwarf Shrub Tundra","0.8260","161"
"Graminoid and Forb Tundra","0.68","50"
"Low and High Shrub Tundra","0.9084","404"
"Steppe","0.9115","893"
"Temperate Deciduous Broadleaf Forest","0.8987","770"
"Temperate Evergreen Needleleaf Open Woodland","0.9347","92"
"Temperate Sclerophyll Woodland and Shrubland","0.9844","129"
"Tropical Deciduous Broadleaf Forest and Woodland","0.8338","319"
"Tropical Evergreen Broadleaf Forest","0.8370","135"
"Tropical Savanna","0.8202","178"
"Tropical Semi Evergreen Broadleaf Forest","0.8235","153"
"Tundra","0.6754","114"
"Warm Temperate Evergreen Broadleaf and Mixed Forest","0.9355","993"
"Xerophytic Woods Scrub","0.8438","602"
