year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2012,6,13,15,15.65,14.298,4.408,1.227,573.107,0.904,3.26
2012,6,13,18,15.7333333333333,14.14,2.485,0.791,269.778,0.916,4.8
2012,6,13,21,15.4666666666667,12.306,4.095,1.277,8.466,0.959,5.42
2012,6,14,0,15.0666666666667,11.287,2.355,2.019,0,0.969,6.99
2012,6,14,3,14.7666666666667,10.701,1.416,1.24,0,0.98,10.61
2012,6,14,6,14.4,10.997,0.071,0.547,135.498,0.969,12.08
2012,6,14,9,14.3333333333333,12.662,0,1.573,600.432,0.876,11.8
2012,6,14,12,14.4666666666667,14.639,0.034,0.779,1126.403,0.753,10.72
2012,6,14,15,14.633333333333301,15.717,1.149,2.064,1390.701,0.745,9.53
2012,6,14,18,14.7,14.409,1.469,2.035,552.481,0.811,9.5
2012,6,14,21,14.5333333333333,12.11,0.516,0.868,52.235,0.961,9.51
2012,6,15,0,14.3333333333333,8.77,0.004,0.834,0,0.973,7.52
2012,6,15,3,14.1666666666667,7.652,0.002,1.593,0,0.969,8.06
2012,6,15,6,14,10.195,0,1.986,325.539,0.957,8.17
2012,6,15,9,13.9333333333333,14.946,0,3.35,1269.254,0.801,7.89
2012,6,15,12,14.3,21.449,0,2.374,1678.547,0.601,6.8
2012,6,15,15,14.633333333333301,20.959,0,1.417,671.316,0.696,5.91
2012,6,15,18,14.8666666666667,22.616,0,2.318,757.067,0.604,5.61
2012,6,15,21,14.7,17.216,0,0.784,64.303,0.841,5.41
2012,6,16,0,14.6666666666667,13.566,0,0.753,0,0.948,5.29
2012,6,16,3,14.5,13.226,0,0.969,0,0.952,5.11
2012,6,16,6,14.4666666666667,15.409,0,1.438,432.763,0.914,4.73
2012,6,16,9,14.5,22.936,0,2.957,1612.563,0.65,4.4
2012,6,16,12,15.0666666666667,24.541,0,3.641,1751.32,0.579,4.02
2012,6,16,15,15.4666666666667,24.266,0,3.64,1597.22,0.609,4.06
2012,6,16,18,15.9,21.51,0,2.794,635.678,0.658,4.06
2012,6,16,21,15.9333333333333,18.262,0,3.07,22.166,0.66,4.03
2012,6,17,0,15.8,14.356,0,0.784,0,0.792,3.83
2012,6,17,3,15.6666666666667,13.658,0.006,1.358,0,0.832,3.65
2012,6,17,6,15.7,14.002,0,2.232,208.906,0.841,3.72
2012,6,17,9,15.7666666666667,14.862,0.028,1.753,453.842,0.827,3.21
2012,6,17,12,15.9666666666667,17.826,0,3.168,1508.313,0.696,3.26
2012,6,17,15,16.3333333333333,20.108,0,2.504,1879.436,0.569,3.36
2012,6,17,18,16.7,21.561,0,1.401,1078.51,0.499,3.36
2012,6,17,21,16.6666666666667,16.124,0,0.991,86.658,0.79,3.36
2012,6,18,0,16.4333333333333,13.294,0,1.58,0,0.887,3.36
2012,6,18,3,16.2,11.641,0,0.97,0,0.941,3.36
2012,6,18,6,15.9,14.451,0,0.919,416.735,0.876,3.29
