year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2009,1,1,9,1.85,-6.209,0,1.338,29.161,0.936,NA
2009,1,1,12,1.93333333333333,-4.159,0,2.507,166.098,0.869,NA
2009,1,1,15,1.83333333333333,-4.466,0,2.307,137.435,0.811,NA
2009,1,1,18,1.8,-5.039,0,0.985,12.215,0.855,NA
2009,1,1,21,1.7,-4.972,0,1.001,0,0.858,NA
2009,1,2,0,1.7,-4.821,0,0.857,0,0.871,NA
2009,1,2,3,1.66666666666667,-4.635,0,0.632,0,0.879,NA
2009,1,2,6,1.66666666666667,-4.42,0,0.744,0,0.873,NA
2009,1,2,9,1.7,-4.14,0,0.693,18.641,0.882,NA
2009,1,2,12,1.7,-2.24,0,0.541,264.88,0.787,NA
2009,1,2,15,1.73333333333333,-0.983,0,1.139,266.039,0.743,NA
2009,1,2,18,1.83333333333333,-1.745,0.002,1.423,12.397,0.819,NA
2009,1,2,21,1.8,-1.863,0.005,1.197,0,0.845,NA
2009,1,3,0,1.73333333333333,-2.778,0,1.609,0,0.88,NA
2009,1,3,3,1.6,-4.263,0,1.639,0,0.91,NA
2009,1,3,6,1.56666666666667,-6.264,0,1.54,0,0.925,NA
2009,1,3,9,1.5,-8.233,0,1.157,67.963,0.925,NA
2009,1,3,12,1.6,-3.268,0,1.416,721.952,0.758,NA
2009,1,3,15,1.8,-1.412,0,1.519,581.792,0.622,NA
2009,1,3,18,1.56666666666667,-5.67,0,1.18,46.934,0.819,NA
2009,1,3,21,1.43333333333333,-6.075,0,0.656,0,0.856,NA
2009,1,4,0,1.36666666666667,-5.664,0,1.288,0,0.867,NA
2009,1,4,3,1.33333333333333,-4.679,0,1.632,0,0.816,NA
2009,1,4,6,1.26666666666667,-4.346,0,1.741,0,0.79,NA
2009,1,4,9,1.3,-3.526,0,2.047,25.495,0.753,NA
2009,1,4,12,1.36666666666667,-2.28,0,2.554,127.76,0.711,NA
2009,1,4,15,1.4,-1.45,0,3.166,141.151,0.701,NA
2009,1,4,18,1.4,-1.886,0,3.556,10.843,0.734,NA
2009,1,4,21,1.33333333333333,-1.804,0.044,3.683,0,0.745,NA
2009,1,5,0,1.26666666666667,-2.356,0.108,4.207,0,0.815,NA
2009,1,5,3,1.26666666666667,-2.677,0.358,3.519,0,0.842,NA
2009,1,5,6,1.13333333333333,-3.354,1.065,2.599,0,0.921,NA
2009,1,5,9,1.06666666666667,-3.514,1.366,1.274,23.966,0.937,NA
2009,1,5,12,1.2,-2.501,0.613,0.615,188.492,0.887,NA
2009,1,5,15,1.33333333333333,-1.912,0.248,2.526,167.615,0.862,NA
2009,1,5,18,1.23333333333333,-2.8,0.016,3.439,11.698,0.763,NA
2009,1,5,21,1.13333333333333,-3.636,0,4.193,0,0.776,NA
2009,1,6,0,1.1,-4.422,0,3.86,0,0.763,NA
2009,1,6,3,1,-6.358,0,4.228,0,0.754,NA
2009,1,6,6,0.9,-7.533,0,3.12,0,0.751,NA
2009,1,6,9,0.933333333333333,-7.899,0,2.452,27.752,0.718,NA
2009,1,6,12,1,-6.762,0,3.207,299.05,0.647,NA
2009,1,6,15,0.966666666666667,-6.341,0,3.07,362.606,0.609,NA
2009,1,6,18,0.833333333333333,-9.932,0.002,1.456,39.319,0.731,NA
2009,1,6,21,0.7,-12.968,0,1.439,0,0.805,NA
2009,1,7,0,0.566666666666667,-13.933,0,1.312,0,0.826,NA
2009,1,7,3,0.533333333333333,-15.502,0,1.102,0,0.842,NA
2009,1,7,6,0.433333333333333,-16.359,0,0.883,0,0.863,NA
2009,1,7,9,0.366666666666667,-16.933,0,0.596,69.947,0.86,NA
2009,1,7,12,0.4,-10.3,0,0.941,719.599,0.737,NA
2009,1,7,15,0.366666666666667,-6.938,0,1.124,257.777,0.671,NA
