year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2018,11,12,0,8.95,6.514,0,1.753,0,0.963,2.64
2018,11,12,3,8.8,6.236,0.002,1.361,0,0.96,2.6
2018,11,12,6,8.6,5.599,0.002,1.247,0,0.961,2.5
2018,11,12,9,8.53333333333333,7.479,0.002,2.033,80.67,0.94,2.53
2018,11,12,12,9.16666666666667,12.758,0,3.125,819.664,0.748,2.67
2018,11,12,15,9.1,13.685,0,2.217,768.712,0.685,2.71
2018,11,12,18,9,9.704,0,1.839,84.719,0.869,2.8
2018,11,12,21,9.06666666666667,7.857,0.135,1.596,0,0.93,2.56
2018,11,13,0,9.1,6.289,0.248,1.423,0,0.954,2.6
2018,11,13,3,9.03333333333333,6.008,0.512,1.752,0,0.961,2.67
2018,11,13,6,8.93333333333333,5.934,0.272,1.137,0,0.965,2.67
2018,11,13,9,8.83333333333333,6.947,1.037,1.609,9.31,0.967,2.67
2018,11,13,12,8.96666666666667,8.721,0.023,2.349,144.028,0.959,2.81
2018,11,13,15,9.03333333333333,9.513,0.124,3.818,237.095,0.937,2.84
2018,11,13,18,8.9,8.259,0,2.254,47.837,0.921,2.86
2018,11,13,21,9.06666666666667,7.708,0,3.076,0,0.93,2.92
2018,11,14,0,8.96666666666667,5.503,0,2.268,0,0.953,2.8
2018,11,14,3,8.8,4.523,0,1.68,0,0.968,3
2018,11,14,6,8.7,4.328,0,0.684,0,0.977,2.84
2018,11,14,9,8.4,4.268,0,1.159,26.088,0.979,2.86
2018,11,14,12,8.4,5.592,0,1.619,214.24,0.947,2.98
2018,11,14,15,8.4,5.884,0,1.446,219.849,0.935,3.03
2018,11,14,18,8.4,5.191,0,1.098,28.42,0.951,3.03
2018,11,14,21,8.4,4.348,0,1.477,0,0.96,2.89
2018,11,15,0,8.43333333333333,3.407,0,1.329,0,0.977,2.74
2018,11,15,3,8.33333333333333,2.758,0,1.366,0,0.974,2.67
2018,11,15,6,8.13333333333333,1.889,0,1.532,0,0.975,2.67
2018,11,15,9,8.03333333333333,1.962,0,1.756,39.564,0.971,2.8
2018,11,15,12,8.23333333333333,4.743,0,2.192,462.264,0.89,2.67
2018,11,15,15,8.23333333333333,7.639,0,2.117,721.013,0.749,2.54
2018,11,15,18,7.9,3.484,0,0.975,112.434,0.917,2.63
2018,11,15,21,7.73333333333333,1.811,0,1.143,0,0.96,2.67
2018,11,16,0,7.66666666666667,1.377,0,0.911,0,0.971,2.71
