year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2000,12,13,3,7.3,9.903,0.011,1.632,0,0.776,97.4
2000,12,13,6,7.3,11.92,0.044,3.651,0,0.583,97.4
2000,12,13,9,7.33333333333333,11.983,0.004,5.191,26.981,0.629,97.4
2000,12,13,12,7.43333333333333,12.835,0,5.557,318.307,0.591,97.4
2000,12,13,15,7.53333333333333,12.636,0.019,5.883,332.912,0.511,97.4
2000,12,13,18,7.46666666666667,9.955,0.001,3.181,24.9,0.609,97.4
2000,12,13,21,7.53333333333333,9.896,0.019,3.966,0,0.623,97.4
2000,12,14,0,7.56666666666667,9.422,0.001,4.169,0,0.693,97.4
2000,12,14,3,7.63333333333333,8.797,0.126,4.301,0,0.788,101
2000,12,14,6,7.6,8.147,0.558,3.783,0,0.842,101
2000,12,14,9,7.56666666666667,7.067,0.715,2.093,32.487,0.906,101
2000,12,14,12,7.56666666666667,8.941,0,3.611,195.46,0.806,101
2000,12,14,15,7.63333333333333,8.354,0.032,3.662,129.181,0.855,101
2000,12,14,18,7.6,7.071,0.2,4.2,12.004,0.91,101
2000,12,14,21,7.63333333333333,6.673,0.143,4.228,0,0.931,101
2000,12,15,0,7.7,6.658,0.404,3.492,0,0.92,101
2000,12,15,3,7.73333333333333,6.392,0.611,2.074,0,0.938,107
2000,12,15,6,7.66666666666667,4.944,0.016,1.874,0,0.916,107
2000,12,15,9,7.56666666666667,4.072,0.151,2.606,36.377,0.902,107
2000,12,15,12,7.5,5.361,0,4.463,228.022,0.795,107
2000,12,15,15,7.56666666666667,4.988,0.003,5.102,206.975,0.8,107
2000,12,15,18,7.43333333333333,3.673,0.217,3.915,14.962,0.928,107
2000,12,15,21,7.43333333333333,3.878,0.158,3.635,0,0.925,107
2000,12,16,0,7.43333333333333,3.557,0.074,3.885,0,0.889,107
2000,12,16,3,7.4,2.924,0.023,3.881,0,0.865,136
2000,12,16,6,7.33333333333333,2.399,0,3.926,0,0.763,136
2000,12,16,9,7.16666666666667,1.88,0,4.246,40.17,0.744,136
2000,12,16,12,7.06666666666667,3.503,0,4.62,412.803,0.699,136
2000,12,16,15,7.06666666666667,3.826,0,3.91,369.378,0.655,136
2000,12,16,18,6.93333333333333,1.839,0.029,2.277,23.05,0.784,136
2000,12,16,21,6.86666666666667,1.275,0.184,2.088,0,0.913,136
2000,12,17,0,6.76666666666667,0.467,0.04,1.307,0,0.938,136
2000,12,17,3,6.7,0.367,0.005,1.17,0,0.95,155
2000,12,17,6,6.66666666666667,0.452,0.014,0.524,0,0.96,155
2000,12,17,9,6.66666666666667,0.616,0.152,0.354,14.425,0.963,155
2000,12,17,12,6.66666666666667,1.151,0.244,0.41,124.315,0.96,155
2000,12,17,15,6.7,1.92,0.056,0.552,115.525,0.905,155
2000,12,17,18,6.63333333333333,0.448,0.01,0.483,9.318,0.948,155
2000,12,17,21,6.63333333333333,-0.529,0.013,0.58,0,0.958,155
2000,12,18,0,6.5,-1.725,0,0.246,0,0.965,155
2000,12,18,3,6.46666666666667,-2.684,0,0.064,0,0.965,143
2000,12,18,6,6.43333333333333,-2.03,0,0.256,0,0.966,143
2000,12,18,9,6.4,-1.463,0,0.106,16.054,0.966,143
2000,12,18,12,6.36666666666667,-0.398,0,0.218,131.397,0.966,143
2000,12,18,15,6.3,0.268,0,0.852,90.472,0.962,143
2000,12,18,18,6.33333333333333,0.676,0.181,0.825,5.216,0.96,143
2000,12,18,21,6.26666666666667,1.152,0.93,0.631,0,0.962,143
2000,12,19,0,6.2,0.947,0.355,0.403,0,0.965,143
2000,12,19,3,6.13333333333333,0.741,0.073,0.287,0,0.969,131
2000,12,19,6,6.1,1.009,1.595,0.195,0,0.969,131
2000,12,19,9,6.1,1.192,0.976,0.205,14.016,0.964,131
2000,12,19,12,6.1,1.725,0.12,0.521,128.374,0.965,131
2000,12,19,15,6.03333333333333,2.332,0.001,0.951,108.745,0.962,131
2000,12,19,18,6,1.971,0,0.647,6.425,0.95,131
2000,12,19,21,6,0.918,0,1.121,0,0.95,131
2000,12,20,0,5.83333333333333,0.041,0,1.374,0,0.91,131
2000,12,20,3,5.76666666666667,-1.129,0,1.037,0,0.915,124
2000,12,20,6,5.6,-1.825,0,0.899,0,0.912,124
2000,12,20,9,5.63333333333333,-1.769,0,1.154,72.795,0.896,124
2000,12,20,12,5.53333333333333,0.918,0,2.518,534.7,0.758,124
2000,12,20,15,5.6,2.318,0,2.824,426.368,0.614,124
2000,12,20,18,5.46666666666667,0.018,0,1.667,32.055,0.697,124
2000,12,20,21,5.33333333333333,-1.235,0,1.564,0,0.735,124
2000,12,21,0,5.2,-2.133,0,2.015,0,0.761,124
2000,12,21,3,5.16666666666667,-4.082,0,1.311,0,0.818,111
2000,12,21,6,4.96666666666667,-5.04,0,1.446,0,0.872,111
2000,12,21,9,4.83333333333333,-5.493,0,0.988,67.097,0.887,111
2000,12,21,12,4.76666666666667,-1.915,0,1.876,478.926,0.689,111
2000,12,21,15,4.8,-0.651,0,1.75,395.889,0.621,111
2000,12,21,18,4.66666666666667,-3.169,0,1.256,32.634,0.762,111
2000,12,21,21,4.5,-5.044,0,1.262,0,0.864,111
2000,12,22,0,4.43333333333333,-5.342,0,2.084,0,0.879,111
2000,12,22,3,4.36666666666667,-4.62,0,1.839,0,0.87,100
2000,12,22,6,4.23333333333333,-5.005,0,1.664,0,0.86,100
2000,12,22,9,4.06666666666667,-5.563,0,1.447,32.523,0.87,100
2000,12,22,12,4,-3.965,0,2.444,385.551,0.813,100
2000,12,22,15,3.93333333333333,-1.929,0,1.833,355.864,0.692,100
2000,12,22,18,3.93333333333333,-4.327,0,1.049,19.862,0.814,100
2000,12,22,21,3.76666666666667,-5.786,0,1.254,0,0.887,100
2000,12,23,0,3.63333333333333,-6.946,0,0.842,0,0.935,99.9
2000,12,23,3,3.5,-7.955,0,0.617,0,0.94,90.7
2000,12,23,6,3.56666666666667,-8.919,0,0.487,0,0.941,90.7
2000,12,23,9,3.63333333333333,-7.398,0,0.235,11.612,0.944,90.7
2000,12,23,12,3.43333333333333,-6.153,0,0.459,136.684,0.942,90.7
2000,12,23,15,3.26666666666667,-4.918,0,0.357,136.979,0.928,90.7
2000,12,23,18,3.2,-5.576,0,0.809,9.712,0.944,90.7
2000,12,23,21,3.2,-6.242,0,1.023,0,0.941,90.7
2000,12,24,0,3.3,-6.339,0,0.821,0,0.951,90.6
2000,12,24,3,3.26666666666667,-6.991,0,0.257,0,0.953,84.4
2000,12,24,6,3.26666666666667,-7.56,0,0.274,0,0.952,84.4
2000,12,24,9,3.03333333333333,-7.915,0,0.101,46.397,0.95,84.4
2000,12,24,12,2.96666666666667,-3.423,0.186,0.408,306.257,0.918,84.4
2000,12,24,15,3,-1.494,0,0.7,187.117,0.879,84.4
2000,12,24,18,2.9,-1.627,0,0.408,12.937,0.933,84.4
2000,12,24,21,2.9,-1.929,0,0.194,0,0.941,84.4
2000,12,25,0,2.83333333333333,-1.74,0,0.71,0,0.936,84.4
