year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2004,10,26,12,11.4,9.488,2.18,0.962,236.84,0.969,33.85
2004,10,26,15,11.383333333333301,9.409,0.752,1.219,176.298,0.967,43.25
2004,10,26,18,11.275,8.838,0.979,0.479,22.317,0.977,45.17
2004,10,26,21,11.2,8.695,2.101,0.765,0,0.98,43.54
2004,10,27,0,11.2,8.593,4.738,0.733,0,0.979,43.72
2004,10,27,3,11.2,8.213,1.953,0.502,0,0.979,44.61
2004,10,27,6,11.2,7.721,0.304,0.79,0.394,0.977,48.53
2004,10,27,9,11.133333333333301,8.046,0.056,1.214,259.358,0.949,51.88
2004,10,27,12,11.1666666666667,10.146,0.018,2.794,613.703,0.844,57.34
2004,10,27,15,11.3333333333333,10.202,0,2.319,207.199,0.869,59.68
2004,10,27,18,11.45,9.605,0.001,2.43,22.455,0.904,51.8
2004,10,27,21,11.4083333333333,9.106,0,2.101,0,0.941,52.43
2004,10,28,0,11.4,8.791,0,1.806,0,0.952,55.13
2004,10,28,3,11.4083333333333,8.687,0,0.879,0,0.975,54.06
2004,10,28,6,11.383333333333301,8.619,0.032,1.277,0.424,0.978,50.07
2004,10,28,9,11.275,9.183,0,0.942,85.888,0.975,48.12
2004,10,28,12,11.3416666666667,10.964,0.088,2.143,363.675,0.91,49.27
2004,10,28,15,11.4583333333333,12.979,0,2.018,380.745,0.826,50.21
2004,10,28,18,11.5,10.877,0,1.073,34.334,0.939,49.68
2004,10,28,21,11.4666666666667,8.59,0,1.362,0,0.971,47.14
2004,10,29,0,11.3666666666667,8.441,0,1.43,0,0.973,40.82
2004,10,29,3,11.2833333333333,8.976,0,1.573,0,0.964,41.43
2004,10,29,6,11.175,8.707,0.015,1.342,0.42,0.96,44.32
2004,10,29,9,11.075,9.843,0.071,0.848,272.229,0.943,40.26
2004,10,29,12,11.133333333333301,14.444,0,1.354,957.477,0.673,39.35
2004,10,29,15,11.3416666666667,14.369,0.079,0.817,339.039,0.746,40.82
2004,10,29,18,11.3166666666667,11.45,0.156,0.797,18.527,0.972,47.13
2004,10,29,21,11.3916666666667,10.578,0.615,0.828,0,0.979,44.37
2004,10,30,0,11.3916666666667,9.632,0.851,0.876,0,0.97,37.73
2004,10,30,3,11.3083333333333,9.117,0.072,0.882,0,0.977,38.15
2004,10,30,6,11.2416666666667,8.895,0.08,0.942,0.241,0.977,42.97
2004,10,30,9,11.15,9.565,3.225,2.16,75.65,0.977,41.09
2004,10,30,12,11.15,10.676,3.579,2.478,435.386,0.924,42.02
2004,10,30,15,11.258333333333301,11.144,0,2.521,297.453,0.85,43.46
2004,10,30,18,11.3,9.805,0,0.6,30.325,0.94,44.79
2004,10,30,21,11.3166666666667,7.614,0,0.655,0,0.977,41.15
2004,10,31,0,11.3083333333333,6.853,0,0.56,0,0.972,43.33
2004,10,31,3,11.2833333333333,6.251,0.02,0.631,0,0.971,51.7
2004,10,31,6,11.2,5.488,0.001,0.56,0.28,0.971,47.5
2004,10,31,9,11.15,6.35,0.005,0.747,141.953,0.971,44.38
2004,10,31,12,11.2333333333333,9.31,0,1.482,468.069,0.944,48.48
2004,10,31,15,11.3,11.872,0,2.364,463.687,0.749,51.82
2004,10,31,18,11.2166666666667,9.427,0,1.123,35.047,0.898,37.91
2004,10,31,21,11.2,7.481,0,1.245,0,0.954,35.55
2004,11,1,0,11.175,6.347,0,1.078,0,0.976,42.05
2004,11,1,3,11.025,5.785,0,1.071,0,0.975,42.76
2004,11,1,6,10.8583333333333,7.147,0,1.311,0,0.946,36.51
2004,11,1,9,10.7916666666667,8.835,0,2.225,136.721,0.894,33
2004,11,1,12,10.8,11.22,0,3.236,366.467,0.786,36.28
2004,11,1,15,10.825,11.943,0,3.302,243.352,0.749,39.85
2004,11,1,18,10.8,10.951,0,2.002,16.143,0.806,40.88
2004,11,1,21,10.8583333333333,10.76,0,1.709,0,0.848,38.24
2004,11,2,0,10.8,9.872,0,1.13,0,0.916,37.52
2004,11,2,3,10.8,9.509,0,1.159,0,0.948,39.25
2004,11,2,6,10.758333333333301,9.216,0,1.064,0,0.964,41.25
2004,11,2,9,10.6916666666667,9.264,0.016,1.465,85.438,0.969,36.82
2004,11,2,12,10.6833333333333,10.581,0,1.901,232.56,0.937,33.9
2004,11,2,15,10.6833333333333,11.418,0,2.128,166.626,0.919,31.73
2004,11,2,18,10.575,11.576,0,2.233,14.428,0.911,36.1
2004,11,2,21,10.5666666666667,11.95,0,2.361,0,0.913,46.13
2004,11,3,0,10.65,11.229,0,1.314,0,0.945,45.83
2004,11,3,3,10.7,10.272,0,0.716,0,0.967,40.26
2004,11,3,6,10.675,10.108,0,0.821,0,0.974,32.73
2004,11,3,9,10.625,10.776,0,0.997,82.64,0.965,43.92
2004,11,3,12,10.7,11.844,0,0.95,202.933,0.922,40.83
2004,11,3,15,10.7333333333333,11.975,0,0.637,165.987,0.908,26.72
2004,11,3,18,10.775,11.622,0,0.733,15.439,0.949,33.65
2004,11,3,21,10.8,11.392,0,0.86,0,0.957,28.85
2004,11,4,0,10.8,11.123,0.004,0.912,0,0.959,32.7
2004,11,4,3,10.8,10.936,0.008,0.583,0,0.974,44.69
2004,11,4,6,10.8,10.577,0.024,0.592,0,0.975,43.85
2004,11,4,9,10.875,10.279,0.049,1.075,57.654,0.979,31.83
2004,11,4,12,10.883333333333301,10.439,0.041,2.049,206.941,0.959,27.84
2004,11,4,15,10.9,10.954,0,1.105,198.345,0.918,34.46
2004,11,4,18,10.9,10.754,0,0.962,14.273,0.938,36.79
2004,11,4,21,10.9,9.751,0,0.778,0,0.976,36.6
2004,11,5,0,10.9,9.489,0,0.664,0,0.973,39.35
2004,11,5,3,10.95,9.798,0.003,0.622,0,0.972,43.45
2004,11,5,6,10.9916666666667,9.626,1.745,1.526,0,0.973,37.39
2004,11,5,9,11,9.27,2.315,1.587,75.291,0.971,24.69
2004,11,5,12,11.125,9.915,0,3.788,662.588,0.788,33.78
2004,11,5,15,11.1416666666667,8.875,0,3.971,586.111,0.565,36.85
2004,11,5,18,11.0416666666667,6.474,0,1.717,24.794,0.716,44.81
2004,11,5,21,11,5.358,0,1.527,0,0.838,45.83
2004,11,6,0,10.8916666666667,3.812,0,1.453,0,0.939,46.71
2004,11,6,3,10.75,4.038,0,1.497,0,0.948,42.57
2004,11,6,6,10.625,3.301,0,1.976,0,0.953,37.98
2004,11,6,9,10.5,3.654,0.121,2.394,101.934,0.954,37.99
2004,11,6,12,10.5,5.609,0,3.542,284.685,0.89,38.73
2004,11,6,15,10.5,6.27,0.205,4.019,180.089,0.876,40.44
2004,11,6,18,10.4083333333333,4.91,2.381,2.511,11.928,0.964,41.47
2004,11,6,21,10.325,3.19,0.005,1.349,0,0.982,41.49
2004,11,7,0,10.2833333333333,2.276,0,0.614,0,0.983,41.3
2004,11,7,3,10.1666666666667,2.767,0.045,0.795,0,0.981,41.83
2004,11,7,6,9.98333333333333,2.446,0,1.105,0,0.98,38.36
2004,11,7,9,9.9,3.103,0.27,1.804,90.144,0.975,36.05
2004,11,7,12,9.9,5.232,0.193,2.025,423.347,0.898,40.11
2004,11,7,15,9.85,5.269,0.835,2.04,434.764,0.844,42.26
2004,11,7,18,9.70833333333333,3.922,0.061,1.07,30.816,0.887,36.85
2004,11,7,21,9.7,3.723,0.057,0.815,0,0.923,35.02
2004,11,8,0,9.65833333333333,3.112,0.05,1.08,0,0.913,38.99
2004,11,8,3,9.45833333333333,2.59,0.168,0.724,0,0.934,46.15
2004,11,8,6,9.24166666666667,1.585,0.015,0.446,0,0.974,40.32
2004,11,8,9,9.10833333333333,1.776,0.194,0.735,173.161,0.967,35.1
2004,11,8,12,9.10833333333333,4.003,0.012,1.711,648.539,0.736,39.88
2004,11,8,15,9.075,4.153,0.002,1.588,393.457,0.671,42.71
2004,11,8,18,9,1.796,0.009,1.319,23.287,0.866,36.89
2004,11,8,21,8.96666666666667,0.246,0,1.368,0,0.946,36.58
2004,11,9,0,8.85833333333333,-0.314,0,0.96,0,0.968,41.2
2004,11,9,3,8.71666666666667,-0.516,0,0.783,0,0.975,36.13
2004,11,9,6,8.55,-0.499,0.003,1.354,0,0.968,32.24
2004,11,9,9,8.44166666666667,-0.02,0.555,2.353,54.688,0.984,36.27
2004,11,9,12,8.20833333333333,0.569,2.552,2.485,171.778,0.982,42.93
2004,11,9,15,7.90833333333333,0.524,4.002,2.007,131.034,0.972,36.69
2004,11,9,18,7.78333333333333,0.453,2.799,1.659,10.15,0.977,30.78
2004,11,9,21,7.74166666666667,0.459,1.921,1.275,0,0.98,43.12
2004,11,10,0,7.65833333333333,-0.506,0.55,1.887,0,0.989,53.36
2004,11,10,3,7.50833333333333,-0.302,0.09,2.284,0,0.975,49.37
2004,11,10,6,7.35833333333333,0.04,0.024,2.381,0,0.964,44.1
2004,11,10,9,7.15833333333333,0.472,0.127,2.182,108.607,0.96,41.73
2004,11,10,12,7.05,1.717,0.008,2.399,523.201,0.871,41.24
2004,11,10,15,7,1.768,0,1.608,345.224,0.868,42.05
2004,11,10,18,6.925,0.588,0,1.063,13.608,0.953,43.17
2004,11,10,21,6.9,0.379,0.296,0.64,0,0.982,47.73
2004,11,11,0,6.78333333333333,0.622,0.541,1.069,0,0.978,49.69
2004,11,11,3,6.625,1.07,0,1.145,0,0.976,49.19
2004,11,11,6,6.46666666666667,1.417,0.329,1.014,0,0.971,46.63
2004,11,11,9,6.375,1.855,1.094,0.856,70.519,0.977,40.97
2004,11,11,12,6.4,3.183,0.019,0.897,273.892,0.957,44.24
2004,11,11,15,6.53333333333333,3.957,0.018,0.431,163.887,0.939,51.57
2004,11,11,18,6.68333333333333,3.373,0,0.597,10.331,0.98,56.41
2004,11,11,21,6.725,3.188,0,0.515,0,0.98,58.43
2004,11,12,0,6.60833333333333,2.898,0,0.482,0,0.981,55.42
2004,11,12,3,6.48333333333333,2.985,0,0.693,0,0.977,48.2
2004,11,12,6,6.4,2.89,0.019,0.622,0,0.977,47.2
2004,11,12,9,6.48333333333333,2.904,0.002,0.709,54.421,0.971,45.12
2004,11,12,12,6.74166666666667,3.135,0.007,1.053,180.425,0.955,47.07
2004,11,12,15,7,2.906,0,1.362,121.636,0.965,52.78
2004,11,12,18,7.09166666666667,2.516,0,2.365,8.592,0.974,54.35
2004,11,12,21,7.05,2.13,0,3.344,0,0.962,53.53
2004,11,13,0,6.86666666666667,1.613,0.007,3.219,0,0.955,54.86
2004,11,13,3,6.65833333333333,1.419,1.564,2.276,0,0.977,55.5
2004,11,13,6,6.66666666666667,1.343,2.827,1.831,0,0.979,53.53
2004,11,13,9,6.85,2.102,1.165,1.889,76.789,0.972,49.82
2004,11,13,12,7.03333333333333,3.689,0.156,3.584,360.382,0.904,52.03
2004,11,13,15,7.2,4.332,0.134,3.403,392.985,0.763,57.03
