year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2012,3,7,12,4.43636363636364,5.62,0,1.997,1265.655,0.65,8.72
2012,3,7,15,4.775,7.335,0,3.944,866.517,0.561,8.64
2012,3,7,18,4.975,6.173,0,3.269,111.522,0.594,8.63
2012,3,7,21,5.11666666666667,5.28,0.013,2.965,0,0.628,8.63
2012,3,8,0,5.2,2.503,1.706,3.829,0,0.913,8.63
2012,3,8,3,5.2,1.699,1.765,3.134,0,0.937,8.67
2012,3,8,6,5.125,1.658,0.865,2.637,1.193,0.944,8.72
2012,3,8,9,5.075,3.548,0.424,3.714,252.601,0.871,8.87
2012,3,8,12,5.21818181818182,5.631,0.111,5.06,920.81,0.684,8.93
2012,3,8,15,5.58333333333333,6.229,0.077,4.185,914.12,0.594,9.03
2012,3,8,18,5.675,4.526,0.087,3.418,214.63,0.644,9.08
2012,3,8,21,5.525,0.714,0.012,1.021,0,0.827,9.08
2012,3,9,0,5.46666666666667,-0.584,0,0.953,0,0.882,9.21
2012,3,9,3,5.14166666666667,-1.977,0,0.596,0,0.929,9.23
2012,3,9,6,4.77272727272727,-2.955,0,0.349,3.454,0.937,9.23
2012,3,9,9,NA,0.152,0,0.671,655.972,0.856,9.22
2012,3,9,12,NA,6.608,0,2.57,1597.889,0.649,9.11
2012,3,9,15,NA,8.491,0,2.862,1294.202,0.497,9.01
2012,3,9,18,NA,6.611,0,1.972,255.767,0.576,8.9
2012,3,9,21,NA,2.476,0,1.25,0,0.758,8.83
2012,3,10,0,5.35714285714286,1.397,0,0.879,0,0.798,8.78
2012,3,10,3,5.175,0.905,0,0.929,0,0.828,8.75
2012,3,10,6,4.95833333333333,0.784,0,1.328,1.065,0.841,8.66
2012,3,10,9,4.8,2.138,0,1.028,225.757,0.816,8.62
2012,3,10,12,4.94166666666667,7.4,0,2.337,893.397,0.648,8.55
2012,3,10,15,5.275,7.768,0.076,2.942,411.259,0.737,8.55
2012,3,10,18,5.475,7.786,0,2.424,68.965,0.774,8.49
2012,3,10,21,5.675,7.263,0.004,2.559,0,0.821,8.36
2012,3,11,0,5.8,7.355,0.004,2.741,0,0.842,8.34
2012,3,11,3,5.88333333333333,7.053,0.005,2.908,0,0.84,8.4
2012,3,11,6,5.975,6.134,0.006,2.768,2.035,0.84,8.39
2012,3,11,9,6,6.579,0.035,3.017,105.283,0.808,8.39
2012,3,11,12,6.04166666666667,7.384,0.002,4.248,293.414,0.745,8.39
2012,3,11,15,6.19166666666667,7.75,0,3.662,217.802,0.741,8.39
2012,3,11,18,6.26666666666667,7.449,0.005,3.391,52.486,0.798,8.39
2012,3,11,21,6.3,6.494,0.081,2.278,0,0.908,8.39
2012,3,12,0,6.4,6.386,0.336,3.094,0,0.948,8.39
2012,3,12,3,6.4,6.664,0.028,2.863,0,0.915,8.39
2012,3,12,6,6.4,7.113,0,3.479,3.834,0.845,8.39
2012,3,12,9,6.425,7.36,0,3.985,358.249,0.824,8.39
2012,3,12,12,6.71666666666667,7.857,0,3.448,557.84,0.798,8.39
2012,3,12,15,6.85833333333333,8.239,0,4.029,498.335,0.79,8.39
2012,3,12,18,7.025,7.848,0,3.796,129.661,0.802,8.39
2012,3,12,21,7.21666666666667,7.364,0.011,2.25,0,0.847,8.39
2012,3,13,0,7.28333333333333,7.333,0,2.266,0,0.86,8.39
2012,3,13,3,7.2,6.937,0,1.689,0,0.86,8.39
2012,3,13,6,7.15833333333333,5.991,0,2.914,1.31,0.841,8.38
2012,3,13,9,7.01666666666667,5.621,0,2.632,149.029,0.826,8.31
2012,3,13,12,7.025,6.126,0,3.119,345.292,0.807,8.25
2012,3,13,15,7.1,6.4,0,3.223,300.703,0.783,8.23
2012,3,13,18,7.1,6.056,0,2.844,65.238,0.812,8.16
2012,3,13,21,7.01666666666667,5.614,0,1.588,0,0.829,8.09
2012,3,14,0,7,5.404,0,1.494,0,0.836,8.09
2012,3,14,3,6.9,5.019,0,1.453,0,0.84,8.04
2012,3,14,6,6.81666666666667,4.419,0,1.067,0.657,0.859,7.96
2012,3,14,9,6.73333333333333,4.367,0,1.496,98.421,0.862,7.94
2012,3,14,12,6.7,5.178,0,1.777,305.15,0.818,7.88
2012,3,14,15,6.79166666666667,5.924,0,1.043,345.187,0.772,7.83
2012,3,14,18,6.8,5.459,0,1.363,96.28,0.78,7.79
2012,3,14,21,6.70833333333333,4.46,0,2.352,0,0.793,7.74
2012,3,15,0,6.69166666666667,3.889,0,1.268,0,0.819,7.71
2012,3,15,3,6.6,3.667,0,0.965,0,0.831,7.64
2012,3,15,6,6.48333333333333,3.529,0,0.877,4.052,0.819,7.59
2012,3,15,9,6.41666666666667,4.203,0,1.701,427.522,0.798,7.56
2012,3,15,12,6.78333333333333,8.284,0,1.688,1689.609,0.638,7.55
2012,3,15,15,7.30833333333333,12.834,0,1.631,1481.794,0.476,7.49
2012,3,15,18,7.5,12.022,0,1.208,350.614,0.541,7.46
2012,3,15,21,7.46666666666667,5.053,0,0.925,0,0.777,7.41
2012,3,16,0,7.36666666666667,2.676,0,1.005,0,0.81,7.41
2012,3,16,3,7.08333333333333,1.371,0,1.173,0,0.855,7.39
2012,3,16,6,6.68333333333333,0.116,0,0.862,14.478,0.866,7.34
2012,3,16,9,6.41666666666667,5.269,0,1.025,788.694,0.794,7.34
2012,3,16,12,6.7,13.555,0,2.05,1749.301,0.529,7.28
2012,3,16,15,7.29166666666667,19.34,0,3.045,1495.329,0.337,7.21
2012,3,16,18,7.54166666666667,16.694,0,1.965,348.105,0.428,7.19
2012,3,16,21,7.66666666666667,8.995,0,0.924,0,0.68,7.12
2012,3,17,0,7.78333333333333,5.768,0,1.061,0,0.785,7.12
2012,3,17,3,7.59166666666667,3.495,0,1.065,0,0.841,7.12
2012,3,17,6,7.225,2.269,0,0.996,14.866,0.853,7.12
2012,3,17,9,6.93333333333333,7.388,0,1.057,804.208,0.721,7.12
2012,3,17,12,7.26666666666667,16.076,0,3.861,1741.479,0.371,7.12
2012,3,17,15,7.84166666666667,19.69,0,4.104,1441.322,0.249,7.11
2012,3,17,18,8.00833333333333,16.375,0,4.595,243.004,0.288,7.11
2012,3,17,21,8.16666666666667,11.861,0,2.631,0,0.484,7.11
2012,3,18,0,8.3,7.287,0,0.931,0,0.71,7.05
2012,3,18,3,8.2,4.373,0,1.054,0,0.834,7.02
2012,3,18,6,7.9,3.506,0,0.94,9.01,0.872,6.92
2012,3,18,9,7.70833333333333,7.515,0,1.208,632.844,0.73,6.89
2012,3,18,12,7.9,12.422,0,3.125,854.857,0.601,6.89
2012,3,18,15,7.93333333333333,8.62,0.565,3.486,356.786,0.85,6.83
2012,3,18,18,7.9,7.524,0.573,2.471,82.08,0.842,6.82
2012,3,18,21,7.95,6.268,0.659,2.538,0,0.854,6.82
2012,3,19,0,7.975,5.215,0.036,2.081,0,0.885,6.84
2012,3,19,3,7.79166666666667,3.634,0,1.778,0,0.916,6.91
2012,3,19,6,7.51666666666667,2.373,0.002,1.376,15.886,0.903,6.96
2012,3,19,9,7.30833333333333,4.788,0,1.803,726.156,0.741,6.96
2012,3,19,12,7.60833333333333,7.162,0,3.033,1628.391,0.566,6.97
2012,3,19,15,8.00833333333333,9.479,0,2.376,1558.277,0.443,7.05
2012,3,19,18,7.99166666666667,8.821,0,2.361,412.945,0.401,6.94
2012,3,19,21,7.85,2.873,0,1.736,0,0.616,6.82
2012,3,20,0,7.7,0.11,0,0.909,0,0.733,6.72
2012,3,20,3,7.31666666666667,-1.893,0,0.671,0,0.818,6.66
2012,3,20,6,6.80833333333333,-2.935,0,0.627,21.903,0.858,6.57
2012,3,20,9,6.45833333333333,2.751,0,0.768,873.641,0.695,6.49
2012,3,20,12,6.75833333333333,10.043,0,2.07,1826.925,0.438,6.34
2012,3,20,15,7.28333333333333,12.571,0,1.988,1565.907,0.329,6.38
2012,3,20,18,7.325,11.411,0,1.955,396.718,0.374,6.38
2012,3,20,21,7.225,5.195,0,0.758,0,0.611,6.34
2012,3,21,0,7.3,2.956,0,0.758,0,0.71,6.31
2012,3,21,3,7.125,0.706,0,0.676,0,0.785,6.26
2012,3,21,6,6.75,-0.374,0,0.969,22.842,0.839,6.21
2012,3,21,9,6.46666666666667,5.373,0,0.894,868.748,0.661,6.16
2012,3,21,12,6.88333333333333,13.217,0,1.106,1818.09,0.401,6.16
2012,3,21,15,7.475,15.978,0,1.484,1550.405,0.344,6.16
2012,3,21,18,7.58333333333333,14.752,0,1.129,395.763,0.432,6.16
2012,3,21,21,7.51666666666667,7.933,0,1.66,0,0.688,6.1
2012,3,22,0,7.64166666666667,5.709,0,1.294,0,0.827,6.09
2012,3,22,3,7.60833333333333,3.474,0,1.07,0,0.897,6.06
2012,3,22,6,7.375,2.618,0,1.064,22.842,0.924,5.96
2012,3,22,9,7.15833333333333,8.698,0,1.362,862.575,0.796,5.94
2012,3,22,12,7.7,15.338,0,2.992,1795.09,0.531,5.94
2012,3,22,15,8.41666666666667,17.298,0,3.201,1590.325,0.426,5.9
2012,3,22,18,8.58333333333333,15.33,0,3.725,399.819,0.556,5.93
2012,3,22,21,8.55,9.986,0,2.528,0,0.783,5.93
2012,3,23,0,8.65,6.415,0,1.556,0,0.899,5.88
2012,3,23,3,8.65,4.494,0,1.255,0,0.934,5.87
2012,3,23,6,8.41666666666667,2.656,0,0.936,19.711,0.962,5.81
2012,3,23,9,8.21666666666667,8.333,0,0.811,851.348,0.874,5.73
2012,3,23,12,8.7,15.246,0,1.581,1813.367,0.559,5.73
2012,3,23,15,9.33333333333333,17.333,0,1.46,1435.456,0.43,5.72
2012,3,23,18,9.43333333333333,15.694,0,2.801,353.444,0.483,5.72
2012,3,23,21,9.4,9.386,0,1.455,0,0.717,5.72
2012,3,24,0,9.4,5.994,0,0.92,0,0.827,5.72
2012,3,24,3,9.33333333333333,4.203,0,1.002,0,0.901,5.72
2012,3,24,6,9.05,2.738,0,0.789,26.773,0.936,5.66
2012,3,24,9,8.78333333333333,9.078,0,0.724,876.381,0.771,5.65
2012,3,24,12,9.225,15.844,0,1.714,1818.633,0.475,5.65
2012,3,24,15,9.75833333333333,17.736,0,1.95,1402.497,0.383,5.65
2012,3,24,18,9.8,16.27,0,2.5,379.712,0.445,5.65
2012,3,24,21,9.7,9.966,0,1.44,0,0.662,5.59
2012,3,25,0,9.7,7.179,0,0.742,0,0.785,5.55
2012,3,25,3,9.6,5.36,0,0.595,0,0.859,5.45
