year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2009,12,21,15,0.2,-4.276,0.003,2.367,183.007,0.884,13.8
2009,12,21,18,0.2,-3.547,0.003,2.59,10.08,0.908,13.8
2009,12,21,21,0.2,-2.564,0.493,2.377,0,0.943,13.8
2009,12,22,0,0.133333333333333,-1.889,2.566,2.332,0,0.965,13.8
2009,12,22,3,0.166666666666667,-1.293,1.867,2.196,0,0.968,13.8
2009,12,22,6,0.2,-0.447,1.186,1.767,0,0.964,13.8
2009,12,22,9,0.233333333333333,1.147,2.052,1.658,33.243,0.969,13.8
2009,12,22,12,0.3,3.466,2.223,3.577,197.563,0.951,13.82
2009,12,22,15,0.333333333333333,5.844,0.536,4.17,186.784,0.88,13.9
2009,12,22,18,0.333333333333333,4.227,0.014,2.327,10.957,0.89,13.9
2009,12,22,21,0.3,2.556,0.386,0.982,0,0.928,13.95
2009,12,23,0,0.333333333333333,1.201,3.119,0.592,0,0.968,14
2009,12,23,3,0.366666666666667,0.299,4.474,1.023,0,0.975,14
2009,12,23,6,0.433333333333333,0.221,2.46,1.005,0,0.971,14.11
2009,12,23,9,0.5,0.616,0.119,1.284,23.627,0.964,14.28
2009,12,23,12,0.633333333333333,1.286,0.015,2.878,251.554,0.923,14.51
2009,12,23,15,0.833333333333333,1.072,0.011,1.668,206.854,0.883,14.73
2009,12,23,18,1,0.54,0,1.907,10.144,0.938,14.97
2009,12,23,21,1.2,0.566,0,1.878,0,0.934,15.19
2009,12,24,0,1.43333333333333,0.604,0,2.278,0,0.935,15.62
2009,12,24,3,1.53333333333333,0.558,0.105,1.948,0,0.937,16.75
2009,12,24,6,1.6,0.39,0.144,2.55,0,0.967,17.95
2009,12,24,9,1.63333333333333,-0.214,0.017,1.818,37.088,0.961,19.22
2009,12,24,12,2,1.219,0.004,1.768,225.345,0.924,20.5
2009,12,24,15,2.5,1.593,0.513,1.943,184.867,0.923,21.82
2009,12,24,18,2.73333333333333,1.295,0.185,2.374,10.246,0.946,23.17
2009,12,24,21,2.83333333333333,1.598,0.115,2.399,0,0.941,24.6
2009,12,25,0,2.96666666666667,1.636,2.87,2.436,0,0.959,26.3
2009,12,25,3,3,2.235,3.964,2.164,0,0.97,28.1
2009,12,25,6,3,1.968,0.597,1.34,0,0.969,29.93
2009,12,25,9,3,3.518,0.108,2.941,27.762,0.959,32.08
2009,12,25,12,3.13333333333333,3.654,0.011,8.698,161.382,0.786,36.36
2009,12,25,15,3.33333333333333,4.146,0,7.555,153.862,0.775,38.17
2009,12,25,18,3.43333333333333,3.853,0.004,6.505,10.073,0.815,39.23
2009,12,25,21,3.5,3.131,0,7.027,0,0.772,42.34
2009,12,26,0,3.5,2.471,0,6.684,0,0.743,44.67
2009,12,26,3,3.6,2.559,0,6.823,0,0.733,46.01
2009,12,26,6,3.5,1.217,0,3.68,0,0.804,47.2
2009,12,26,9,3.5,0.52,0,2.191,46.582,0.879,48.23
2009,12,26,12,3.5,3.237,0,3.374,666.342,0.756,49.21
2009,12,26,15,3.6,4.082,0,3.397,608.318,0.706,50.1
2009,12,26,18,3.6,-0.109,0,1.583,34.157,0.866,51.29
2009,12,26,21,3.6,-2.148,0.017,0.9,0,0.928,50.96
2009,12,27,0,3.53333333333333,-3.071,0.006,1.024,0,0.941,51.5
2009,12,27,3,3.36666666666667,-3.605,0.002,0.938,0,0.925,51.27
2009,12,27,6,3.26666666666667,-4.216,0,0.68,0,0.95,50.62
2009,12,27,9,3.16666666666667,-4.532,0.001,1.064,31.079,0.948,49.67
2009,12,27,12,3.1,-2.439,0.003,1.778,399.451,0.943,47.74
2009,12,27,15,3.1,-0.154,0,1.352,342.559,0.851,45.2
2009,12,27,18,3,0.086,0.228,2.519,10.297,0.887,41.93
2009,12,27,21,3,0.789,0.957,4.854,0,0.944,38.93
2009,12,28,0,3.1,1.258,0.581,3.871,0,0.941,36
2009,12,28,3,3.13333333333333,2.252,0.103,3.742,0,0.895,33.85
2009,12,28,6,3.2,2.035,0,4.541,0,0.854,32.3
2009,12,28,9,3.3,1.953,0,4.266,22.13,0.836,30.96
2009,12,28,12,3.36666666666667,2.731,0,4.515,220.628,0.807,29.93
2009,12,28,15,3.5,2.47,0,2.79,165.623,0.794,29.03
2009,12,28,18,3.5,1.096,0,1.081,10.777,0.867,28.28
2009,12,28,21,3.56666666666667,-0.366,0,0.577,0,0.936,27.73
