year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2000,11,10,12,7,6.894,0.01,3.427,653.681,0.776,19.5
2000,11,10,15,7,5.658,0.33,1.576,206.643,0.919,19.9
2000,11,10,18,7.06666666666667,5.413,0.25,1.827,6.924,0.95,20.3
2000,11,10,21,7,4.907,0.307,2.225,0,0.942,20.4
2000,11,11,0,6.86666666666667,3.532,0.142,2.356,0,0.933,20.7
2000,11,11,3,6.73333333333333,2.753,0.002,2.247,0,0.929,20.2
2000,11,11,6,6.56666666666667,2.715,0,2.039,0,0.928,19.6
2000,11,11,9,6.53333333333333,2.839,0.001,1.533,226.573,0.927,19.3
2000,11,11,12,6.76666666666667,6.951,0,3.285,923.894,0.789,19.8
2000,11,11,15,6.9,7.939,0,2.646,416.766,0.651,20.7
2000,11,11,18,6.9,5.709,0,1.306,9.947,0.798,20.5
2000,11,11,21,6.7,3.715,0,0.543,0,0.826,20.8
2000,11,12,0,6.56666666666667,2.336,0,0.729,0,0.941,19.9
2000,11,12,3,6.43333333333333,1.56,0,1.094,0,0.962,19.2
2000,11,12,6,6.23333333333333,1.394,0,0.775,0,0.964,19.2
2000,11,12,9,6.23333333333333,2.031,0.02,0.652,271.186,0.944,19.2
2000,11,12,12,6.43333333333333,7.089,0.019,1.83,666.416,0.687,19.6
2000,11,12,15,6.56666666666667,8.499,0.019,1.382,283.589,0.63,20.1
2000,11,12,18,6.6,7.99,0.042,2.17,7.171,0.63,20.3
2000,11,12,21,6.66666666666667,7.032,0.284,2.659,0,0.707,19.6
2000,11,13,0,6.7,5.91,0.845,2.931,0,0.809,19.2
2000,11,13,3,6.7,5.607,0.748,1.019,0,0.861,19.4
2000,11,13,6,6.7,5.475,1.003,1.492,0,0.907,19.6
2000,11,13,9,6.73333333333333,5.655,0.589,0.762,64.621,0.933,19.2
2000,11,13,12,6.83333333333333,7.282,0.161,1.153,243.558,0.892,19.2
2000,11,13,15,6.9,8.324,0.738,0.622,144.752,0.91,19.3
2000,11,13,18,6.9,7.2,0.056,0.167,7.441,0.901,19.3
2000,11,13,21,6.9,6.344,0.033,0.284,0,0.944,20.4
2000,11,14,0,6.8,5.9,0.026,0.094,0,0.968,19.9
2000,11,14,3,6.8,5.894,0.104,0.927,0,0.969,18.8
2000,11,14,6,6.8,6.309,0.246,1.206,0,0.977,19.6
2000,11,14,9,6.8,7.058,0.002,1.728,76.495,0.956,20.5
2000,11,14,12,6.93333333333333,8.076,0.034,0.777,231.613,0.963,20.5
2000,11,14,15,7,7.815,1.407,0.505,143.664,0.96,20.6
2000,11,14,18,7.03333333333333,7.162,5.48,0.305,5.445,0.97,21.4
2000,11,14,21,7.1,7.003,2.462,2.201,0,0.969,22.8
2000,11,15,0,7.1,6.562,0.814,2.517,0,0.941,22.9
2000,11,15,3,7.1,5.695,0.006,1.489,0,0.937,23.5
2000,11,15,6,7.1,5.466,0.002,1.168,0,0.94,24.6
2000,11,15,9,7.06666666666667,5.371,0.002,1.783,149.01,0.931,27.1
2000,11,15,12,7.23333333333333,7.441,0,3.075,684.245,0.863,28.7
2000,11,15,15,7.36666666666667,8.039,0.017,2.411,440.876,0.849,30.7
2000,11,15,18,7.33333333333333,6.236,0,1.116,6.826,0.877,32.3
2000,11,15,21,7.2,5.014,0,0.782,0,0.935,33.7
2000,11,16,0,7.2,5.092,0,1.287,0,0.931,35.4
