year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2000,12,13,15,7.6,11.404,0,7.999,444.639,0.462,125
2000,12,13,18,7.6,9.737,0,5.178,14.197,0.54,125
2000,12,13,21,7.6,9.949,0,6.74,0,0.555,125
2000,12,14,0,7.6,8.888,0.071,7.431,0,0.693,125
2000,12,14,3,7.6,8.454,0.944,7.655,0,0.769,163
2000,12,14,6,7.6,6.659,3.013,5.885,0,0.891,163
2000,12,14,9,7.6,6.719,1.343,3.415,26.329,0.908,163
2000,12,14,12,7.6,7.822,0.029,3.832,173.172,0.873,163
2000,12,14,15,7.7,7.155,0.774,3.994,132.252,0.92,163
2000,12,14,18,7.7,6.04,2.904,4.36,9.61,0.959,163
2000,12,14,21,7.6,5.842,3.127,5.206,0,0.943,163
2000,12,15,0,7.6,5.882,0.58,4.182,0,0.915,163
2000,12,15,3,7.63333333333333,5.369,0.921,2.702,0,0.91,196
2000,12,15,6,7.63333333333333,4.689,0.139,3.86,0,0.844,196
2000,12,15,9,7.6,4.078,0.371,5.226,39.471,0.778,196
2000,12,15,12,7.6,4.679,0.049,6.518,250.817,0.735,196
2000,12,15,15,7.6,3.175,0.622,6.875,186.944,0.855,196
2000,12,15,18,7.6,3.65,1.287,5.317,10.22,0.899,196
2000,12,15,21,7.56666666666667,3.095,1.088,5.071,0,0.883,196
2000,12,16,0,7.5,3,0.412,5.192,0,0.842,196
2000,12,16,3,7.4,2.361,0.139,5.778,0,0.799,226
2000,12,16,6,7.3,1.804,0.001,5.933,0,0.718,226
2000,12,16,9,7.23333333333333,1.146,0.006,5.703,24.619,0.731,226
2000,12,16,12,7.1,2.876,0.006,6.208,398.561,0.682,226
2000,12,16,15,7.1,2.876,0.031,5.938,335.774,0.65,226
2000,12,16,18,7.1,1.216,0.534,2.903,12.15,0.789,226
2000,12,16,21,7,0.941,0.667,3.377,0,0.86,226
2000,12,17,0,7.23333333333333,0.633,0,2.229,0,0.901,226
2000,12,17,3,7.4,0.048,0.122,0.718,0,0.966,229
2000,12,17,6,7.2,-0.224,0.18,0.524,0,0.97,229
2000,12,17,9,6.9,-0.008,0.39,0.594,17.845,0.972,229
2000,12,17,12,6.93333333333333,1.134,0.431,0.713,171.184,0.966,229
2000,12,17,15,7,1.306,0,1.022,147.672,0.914,229
2000,12,17,18,6.93333333333333,-1.329,0.002,0.985,9.724,0.958,229
2000,12,17,21,6.86666666666667,-2.307,0,1.642,0,0.96,229
2000,12,18,0,6.76666666666667,-2.032,0,1.477,0,0.966,229
2000,12,18,3,6.63333333333333,-2.23,0,0.506,0,0.967,220
2000,12,18,6,6.56666666666667,-2.945,0,0.821,0,0.97,220
2000,12,18,9,6.5,-2.067,0.048,0.813,19.625,0.971,220
2000,12,18,12,6.4,-0.742,0.06,0.697,171.044,0.971,220
2000,12,18,15,6.36666666666667,-0.197,0.005,1.339,129.93,0.971,220
2000,12,18,18,6.3,-0.224,0.883,0.946,8.459,0.971,220
2000,12,18,21,6.2,-0.145,1.154,0.875,0,0.971,220
2000,12,19,0,6.13333333333333,-0.107,0.183,0.555,0,0.966,220
2000,12,19,3,6.1,0.467,0.599,0.52,0,0.966,201
2000,12,19,6,6.1,0.408,2.402,0.595,0,0.965,201
2000,12,19,9,6,0.382,1.446,0.719,15.199,0.966,201
2000,12,19,12,6,0.829,0.501,1.21,147.599,0.966,201
2000,12,19,15,6,1.342,0,1.415,137.302,0.963,201
2000,12,19,18,5.96666666666667,1.405,0,1.251,9.607,0.956,201
2000,12,19,21,6.13333333333333,1.042,0,2.347,0,0.957,201
2000,12,20,0,6.2,-0.457,0,2.353,0,0.891,201
2000,12,20,3,6.26666666666667,-1.31,0,2.608,0,0.869,182
2000,12,20,6,6.16666666666667,-1.822,0,2.933,0,0.865,182
2000,12,20,9,5.63333333333333,-1.882,0,2.743,54.466,0.86,182
2000,12,20,12,5.53333333333333,0.625,0,4.439,606.902,0.728,182
2000,12,20,15,5.5,1.668,0,4.208,530.511,0.583,182
2000,12,20,18,5.43333333333333,-0.558,0,2.872,21.506,0.623,182
2000,12,20,21,5.26666666666667,-2.061,0,2.784,0,0.701,182
2000,12,21,0,5.16666666666667,-3.095,0,2.198,0,0.747,182
2000,12,21,3,5.03333333333333,-4.639,0,1.785,0,0.794,166
2000,12,21,6,4.9,-5.073,0,1.778,0,0.82,166
2000,12,21,9,4.8,-5.678,0,1.797,67.754,0.873,166
2000,12,21,12,4.7,-1.741,0,2.967,590.311,0.677,166
2000,12,21,15,4.7,-0.81,0,3.398,577.995,0.618,166
2000,12,21,18,4.6,-3.066,0,1.875,26.392,0.736,166
2000,12,21,21,4.5,-4.288,0,2.212,0,0.785,166
2000,12,22,0,4.36666666666667,-5.517,0,2.726,0,0.844,166
2000,12,22,3,4.3,-5.349,0,2.967,0,0.852,148
2000,12,22,6,4.2,-5.215,0,3.477,0,0.842,148
2000,12,22,9,4.1,-5.658,0,3.675,29.175,0.84,148
2000,12,22,12,4,-4.497,0,3.546,328.542,0.794,148
2000,12,22,15,4,-2.783,0,2.886,495.415,0.721,148
2000,12,22,18,3.96666666666667,-4.896,0,1.378,23.702,0.813,148
2000,12,22,21,3.83333333333333,-6.184,0,1.494,0,0.857,148
2000,12,23,0,3.66666666666667,-6.231,0,1.323,0,0.904,148
2000,12,23,3,3.6,-7.688,0,0.632,0,0.929,124
2000,12,23,6,3.5,-8.887,0,0.31,0,0.937,124
2000,12,23,9,3.4,-8.483,0,0.473,33.796,0.939,124
2000,12,23,12,3.3,-5.714,0,1.232,342.779,0.92,124
2000,12,23,15,3.3,-4.134,0,1.87,321.239,0.873,124
2000,12,23,18,3.23333333333333,-5.197,0,1.875,13.935,0.936,124
2000,12,23,21,3.16666666666667,-5.437,0,1.634,0,0.943,124
2000,12,24,0,3.1,-4.782,0,1.638,0,0.94,124
2000,12,24,3,3,-4.805,0,1.136,0,0.936,118
2000,12,24,6,3,-4.852,0,0.819,0,0.937,118
2000,12,24,9,2.9,-5.069,0,1.057,30.613,0.937,118
2000,12,24,12,2.9,-3.421,0.008,1.072,232.617,0.913,118
2000,12,24,15,2.9,-1.862,0,1.137,182.133,0.909,118
2000,12,24,18,2.9,-1.676,0,0.976,11.943,0.919,118
2000,12,24,21,2.9,-1.781,0,1.135,0,0.934,118
2000,12,25,0,2.8,-1.667,0.016,1.097,0,0.957,118
2000,12,25,3,2.8,-1.663,0.007,1.112,0,0.958,114
2000,12,25,6,2.8,-1.887,0.549,1.322,0,0.961,114
2000,12,25,9,2.8,-1.621,0.273,0.998,17.946,0.961,114
2000,12,25,12,2.8,-0.798,0.224,0.947,153.09,0.959,114
2000,12,25,15,2.8,0.008,0.03,0.816,135.121,0.94,114
2000,12,25,18,2.8,-0.155,0.276,0.613,10.859,0.958,114
2000,12,25,21,2.8,-0.345,0.04,0.49,0,0.962,114
2000,12,26,0,2.9,-1.003,0.103,0.894,0,0.973,114
2000,12,26,3,2.83333333333333,-0.78,0.517,1.241,0,0.98,110
2000,12,26,6,2.83333333333333,-0.565,1.372,1.109,0,0.979,110
2000,12,26,9,2.8,-0.328,0.446,1.106,20.906,0.981,110
2000,12,26,12,2.86666666666667,0.633,0.326,1.091,166.528,0.973,110
2000,12,26,15,2.9,1.861,0.128,1.011,177.371,0.967,110
2000,12,26,18,2.9,1.439,0.688,1.368,11.97,0.984,110
2000,12,26,21,2.9,0.63,0,0.763,0,0.979,110
2000,12,27,0,2.9,0.455,0.049,1.147,0,0.972,110
2000,12,27,3,2.9,0.48,0.644,1.095,0,0.973,120
2000,12,27,6,2.9,0.364,0.18,1.674,0,0.972,120
2000,12,27,9,2.9,0.45,0.501,1.789,16.528,0.972,120
2000,12,27,12,2.9,1.365,0.524,1.925,204.058,0.971,120
2000,12,27,15,3,2.668,0,1.217,266.743,0.958,120
2000,12,27,18,3,1.612,0,1.019,15.339,0.968,120
2000,12,27,21,3.06666666666667,1.168,0,1.021,0,0.97,120
2000,12,28,0,3,0.42,0.008,1.291,0,0.95,120
2000,12,28,3,3,0.221,0.002,0.434,0,0.951,116
2000,12,28,6,3.03333333333333,0.213,0,0.326,0,0.951,116
2000,12,28,9,3.1,1.144,0,1.574,11.22,0.949,116
2000,12,28,12,3.1,1.837,0.85,3.698,134.922,0.934,116
2000,12,28,15,3.1,1.282,0.028,4.636,180.33,0.823,116
2000,12,28,18,3.1,0.311,0,2.467,16.379,0.787,116
2000,12,28,21,3.1,0.276,0,1.891,0,0.794,116
2000,12,29,0,3.1,-0.888,0,0.697,0,0.914,116
2000,12,29,3,3.03333333333333,-1.952,0.027,0.632,0,0.955,109
2000,12,29,6,3,-1.149,0.048,0.282,0,0.928,109
2000,12,29,9,3.03333333333333,-0.996,0.013,0.374,16.768,0.944,109
2000,12,29,12,3.03333333333333,-0.185,0.118,0.377,170.315,0.948,109
2000,12,29,15,3.1,0.299,0.487,0.874,150.339,0.961,109
2000,12,29,18,3.1,-0.121,0.534,0.65,12.179,0.97,109
2000,12,29,21,3,-0.401,0,0.962,0,0.968,109
2000,12,30,0,3,-0.86,0,1.481,0,0.931,109
2000,12,30,3,2.9,-1.747,0.384,1.308,0,0.935,105
2000,12,30,6,2.9,-1.885,0,1.12,0,0.947,105
2000,12,30,9,2.9,-2.066,0.75,0.372,10.964,0.957,105
2000,12,30,12,3,-0.449,0.031,1.152,190.667,0.936,105
2000,12,30,15,3,0.617,0,3.723,335.514,0.776,105
