year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2003,12,1,12,4.94545454545455,5.605,0,2.974,438.555,0.874,8.26
2003,12,1,15,4.90833333333333,6.394,0,2.649,229.604,0.806,8.12
2003,12,1,18,4.9,3.985,0,2.51,2.236,0.891,8.27
2003,12,1,21,4.9,3.512,0,2.212,0,0.892,8.27
2003,12,2,0,4.89166666666667,3.406,0,2.152,0,0.88,8.41
2003,12,2,3,4.8,3.228,0,1.854,0,0.88,8.45
2003,12,2,6,4.8,2.754,0,1.963,0,0.901,8.15
2003,12,2,9,4.8,3.263,0,2.064,70.154,0.91,8.21
2003,12,2,12,4.85,8.555,0,2.826,618.166,0.724,8.27
2003,12,2,15,4.9,9.874,0,2.656,478.117,0.681,8.27
2003,12,2,18,4.8,5.774,0,2.638,14.031,0.831,8.27
2003,12,2,21,4.8,4.706,0,1.993,0,0.855,8.27
2003,12,3,0,4.8,4.533,0,1.557,0,0.877,8.27
2003,12,3,3,4.8,3.224,0,1.177,0,0.933,8.27
2003,12,3,6,4.75,2.782,0,1.309,0,0.949,8.25
2003,12,3,9,4.71666666666667,2.459,0,0.998,52.367,0.961,7.96
2003,12,3,12,5.24166666666667,4.979,0,1.527,296.302,0.92,8.04
2003,12,3,15,6.025,6.853,0,2.136,219.648,0.872,8.09
2003,12,3,18,5.875,4.404,0,2.791,4.508,0.937,8.4
2003,12,3,21,5.8,3.834,0,3.307,0,0.956,8.35
2003,12,4,0,5.7,4.113,0,4.001,0,0.952,8.27
2003,12,4,3,5.75833333333333,2.871,0,4.064,0,0.935,8.27
2003,12,4,6,5.76666666666667,2.644,0,4.38,0,0.938,8.4
2003,12,4,9,5.76666666666667,2.632,0,3.188,36.029,0.937,8.41
2003,12,4,12,6.01666666666667,3.658,0,4.015,192.741,0.917,7.8
2003,12,4,15,5.99166666666667,4.176,0,3.659,150.908,0.886,7.74
2003,12,4,18,5.90833333333333,3.62,0,3.496,3.418,0.916,8.15
2003,12,4,21,5.83333333333333,3.348,0,2.431,0,0.913,8.26
2003,12,5,0,5.85,2.856,0,1.047,0,0.924,8.26
2003,12,5,3,5.825,2.477,0.01,1.69,0,0.939,8.26
2003,12,5,6,5.8,2.03,0,0.814,0,0.941,8.12
2003,12,5,9,5.91666666666667,2.062,0,1.217,21.016,0.937,7.99
2003,12,5,12,5.96666666666667,2.162,0,1.592,131.122,0.929,7.74
2003,12,5,15,5.91666666666667,2.264,0,1.238,125.752,0.931,7.98
2003,12,5,18,5.88333333333333,1.781,0,1.055,5.243,0.941,8.07
2003,12,5,21,5.825,1.235,0,2.005,0,0.952,8.14
2003,12,6,0,5.74166666666667,0.923,0,2.566,0,0.967,8.08
2003,12,6,3,5.61666666666667,0.683,0,3.175,0,0.965,8.07
2003,12,6,6,5.58333333333333,0.774,0.288,3.52,0,0.969,8.01
2003,12,6,9,5.61666666666667,1.353,0.311,3.351,19.455,0.969,7.88
2003,12,6,12,5.73333333333333,2.679,0.864,3.718,263.037,0.948,7.94
2003,12,6,15,5.85,1.287,0.136,3.295,292.758,0.665,7.88
2003,12,6,18,5.55833333333333,0.306,0,4.269,6.933,0.633,7.92
2003,12,6,21,5.30833333333333,-0.357,0,3.446,0,0.646,8.27
2003,12,7,0,5.04166666666667,-1.808,0,2.009,0,0.79,8.37
2003,12,7,3,5.06666666666667,-1.683,0.014,2.538,0,0.822,8.26
2003,12,7,6,4.94166666666667,-2.445,0.005,2.791,0,0.895,7.92
2003,12,7,9,4.83333333333333,-2.691,0.01,2.718,101.782,0.798,8.15
2003,12,7,12,5.08333333333333,-0.859,0,3.556,611.457,0.666,8.13
2003,12,7,15,4.95,-0.183,0,2.626,439.414,0.631,8.2
2003,12,7,18,4.6,-3.097,0,1.572,14.57,0.776,8.45
2003,12,7,21,4.33333333333333,-4.657,0,1.664,0,0.911,8.44
2003,12,8,0,4.08333333333333,-5.391,0,1.239,0,0.913,8.24
