year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2007,1,1,9,4,8.069,6.603,4.935,39.888,0.871,78.8
2007,1,1,12,4.03333333333333,7.445,1.821,6.578,270.908,0.814,81.6
2007,1,1,15,4.1,5.668,3.842,6.071,168.505,0.864,112
2007,1,1,18,4.1,4.994,1.404,9.457,15.01,0.799,131
2007,1,1,21,4.1,3.733,0.328,4.798,0,0.809,152
2007,1,2,0,4.1,2.248,0,2.313,0,0.874,160
2007,1,2,3,4.1,0.29,0,1.846,0,0.942,165
2007,1,2,6,4.1,0.368,0.625,2.059,0,0.951,154
2007,1,2,9,4.1,1.254,2.982,3.938,22.136,0.951,141
2007,1,2,12,4.1,2.894,0.315,5.661,261.696,0.888,167
2007,1,2,15,4.1,3.639,0.002,6.373,189.177,0.806,156
2007,1,2,18,4.1,3.061,0.04,4.813,11.324,0.851,151
2007,1,2,21,4.1,2.856,0.309,4.542,0,0.91,164
2007,1,3,0,4.1,3.092,0.261,4.548,0,0.906,164
2007,1,3,3,4.1,2.936,0.312,3.925,0,0.928,175
2007,1,3,6,4.1,3.019,0.04,3.259,0,0.926,185
2007,1,3,9,4.1,2.69,0,3.078,44.253,0.928,195
2007,1,3,12,4.1,4.358,0,4.627,325.784,0.865,186
2007,1,3,15,4.1,4.94,0,4.494,198.01,0.816,180
2007,1,3,18,4.1,4.587,0,5.377,12.802,0.82,178
2007,1,3,21,4.1,4.494,0.151,5.109,0,0.858,180
2007,1,4,0,4.1,4.798,0.022,6.154,0,0.839,173
2007,1,4,3,4.1,4.65,0,5.531,0,0.819,160
2007,1,4,6,4.1,4.639,0.375,5.767,0,0.825,152
2007,1,4,9,4.1,4.883,0.716,6.569,17.475,0.812,152
2007,1,4,12,4.1,4.933,1.08,6.591,121.726,0.885,166
2007,1,4,15,4.1,5.879,1.145,6.68,134.868,0.904,154
2007,1,4,18,4.1,6.074,0.258,5.555,12.56,0.888,157
2007,1,4,21,4.1,5.967,0.196,6.284,0,0.868,164
2007,1,5,0,4.1,5.925,0.154,6.576,0,0.86,148
2007,1,5,3,4.1,5.446,0.597,6.314,0,0.877,171
2007,1,5,6,4.1,5.425,0.776,5.737,0,0.864,151
2007,1,5,9,4.16666666666667,5.316,0.755,5.423,38.544,0.876,161
2007,1,5,12,4.2,6.121,0.069,5.27,155.842,0.843,173
2007,1,5,15,4.3,6.374,0.215,4.99,135.115,0.852,168
2007,1,5,18,4.33333333333333,6.324,0.145,5.283,10.993,0.915,170
2007,1,5,21,4.4,6.641,0.165,5.469,0,0.899,173
2007,1,6,0,4.43333333333333,6.679,0.306,5.799,0,0.896,162
2007,1,6,3,4.53333333333333,6.42,0.475,6.028,0,0.931,164
2007,1,6,6,4.6,6.592,1.286,6.019,0,0.938,166
2007,1,6,9,4.73333333333333,7.164,0.245,5.331,25.705,0.929,164
2007,1,6,12,4.8,8.026,0.107,5.326,209.145,0.913,163
2007,1,6,15,4.9,7.911,0.685,5.271,135.642,0.943,165
2007,1,6,18,4.93333333333333,8.399,0.498,6.018,11.315,0.931,162
2007,1,6,21,5,8.25,3.008,6.382,0,0.92,153
2007,1,7,0,5.1,8.264,1.445,6.273,0,0.931,162
2007,1,7,3,5.1,8.717,2.859,6.061,0,0.917,164
2007,1,7,6,5.2,7.412,2.054,8.213,0,0.861,154
2007,1,7,9,5.3,6.304,0.605,5.666,16.231,0.863,178
2007,1,7,12,5.36666666666667,7.067,0.101,4.887,345.152,0.781,166
2007,1,7,15,5.53333333333333,7.415,0,4.493,312.409,0.744,159
2007,1,7,18,5.6,5.627,0,2.812,25.558,0.821,182
2007,1,7,21,5.6,3.391,0,2.127,0,0.883,189
2007,1,8,0,5.7,3.16,0,2.352,0,0.884,192
2007,1,8,3,5.7,3.073,0,2.203,0,0.897,194
2007,1,8,6,5.7,3.8,0.018,2.583,0,0.884,191
2007,1,8,9,5.7,5.318,0.159,3.807,25.219,0.882,198
2007,1,8,12,5.56666666666667,7.54,0.855,6.547,215.547,0.881,198
2007,1,8,15,5.5,8.054,0.964,6.581,143.359,0.903,212
2007,1,8,18,5.5,8.323,0.393,5.699,12.592,0.871,225
2007,1,8,21,5.5,8.034,0,5.424,0,0.842,215
2007,1,9,0,5.5,7.287,1.598,5.732,0,0.909,220
2007,1,9,3,5.5,8.311,0.305,6.589,0,0.901,228
2007,1,9,6,5.5,9.191,0.277,6.227,0,0.929,235
2007,1,9,9,5.5,10.294,0.696,6.149,15.982,0.911,238
2007,1,9,12,5.63333333333333,11.34,0.119,6.561,145.38,0.881,244
2007,1,9,15,5.73333333333333,12.03,0.397,7.141,194.095,0.848,252
2007,1,9,18,5.83333333333333,11.626,0.104,6.071,15.506,0.816,261
2007,1,9,21,5.9,11.124,0.002,5.925,0,0.784,265
2007,1,10,0,5.96666666666667,10.461,0,6.144,0,0.82,261
2007,1,10,3,6.03333333333333,9.981,0,5.032,0,0.817,254
2007,1,10,6,6.1,8.15,0,4.517,0,0.854,250
