year,month,day,hour,wt,Ta_C,P_mm,wind_ms,rad_whm2,relhum,Q
2009,12,21,18,1.2,-2.553,0,1.616,4.454,0.886,2.2
2009,12,21,21,1.56666666666667,-1.238,0.169,2.133,0,0.913,2.2
2009,12,22,0,1.8,-0.999,2.014,1.953,0,0.955,2.2
2009,12,22,3,2.03333333333333,-0.2,1.859,1.576,0,0.953,2.2
2009,12,22,6,2.3,0.422,0.707,1.252,0,0.954,2.2
2009,12,22,9,2.53333333333333,2.608,1.595,1.853,65.369,0.943,2.2
2009,12,22,12,2.9,4.191,1.445,1.957,230.785,0.894,2.2
2009,12,22,15,3.26666666666667,6.648,0.361,2.937,239.801,0.824,2.4
2009,12,22,18,3.6,4.135,0.002,1.401,5.096,0.903,2.4
2009,12,22,21,3.83333333333333,3.102,0.222,0.639,0,0.899,2.6
2009,12,23,0,4.1,1.311,3.106,0.795,0,0.954,2.7
2009,12,23,3,4.3,0.407,5.108,0.714,0,0.965,2.9
2009,12,23,6,4.33333333333333,0.246,3.265,0.71,0,0.966,3.2
2009,12,23,9,4.4,0.551,0.676,1.628,33.771,0.963,3.3
2009,12,23,12,4.46666666666667,1.349,0.102,1.439,308.535,0.929,3.5
2009,12,23,15,4.56666666666667,1.495,0.001,1.377,183.793,0.893,3.8
2009,12,23,18,4.6,0.831,0,1.158,4.355,0.943,4
2009,12,23,21,4.4,0.853,0,1.106,0,0.933,4.1
2009,12,24,0,4.4,0.83,0,2.08,0,0.928,4.2
2009,12,24,3,4.46666666666667,0.699,0.112,1.198,0,0.934,4.3
2009,12,24,6,4.23333333333333,0.49,0.191,1.539,0,0.956,4.5
2009,12,24,9,4.1,0.076,0,1.007,56.832,0.957,4.5
2009,12,24,12,4.26666666666667,1.618,0,1.247,269.704,0.913,4.3
2009,12,24,15,4.43333333333333,2.317,0.1,0.944,191.183,0.904,4.1
2009,12,24,18,4.5,1.316,0.05,1.05,4.738,0.943,4
2009,12,24,21,4.5,1.383,0.165,1.007,0,0.948,3.9
2009,12,25,0,4.6,1.524,2.699,1.716,0,0.957,3.8
2009,12,25,3,4.53333333333333,1.805,4.63,1.051,0,0.959,4
2009,12,25,6,4.56666666666667,1.925,0.07,0.941,0,0.962,4.2
2009,12,25,9,4.6,4.871,0.032,2.887,38.768,0.94,4.2
2009,12,25,12,4.76666666666667,4.522,0.024,6.699,118.848,0.751,4.8
2009,12,25,15,4.9,4.902,0,5.898,116.164,0.741,5.7
2009,12,25,18,4.93333333333333,3.846,0.235,4.479,4.131,0.852,6
2009,12,25,21,4.93333333333333,3.25,0,4.76,0,0.763,6.1
2009,12,26,0,4.63333333333333,2.789,0,4.979,0,0.73,6.5
2009,12,26,3,4.4,3.018,0,4.644,0,0.728,6.5
