Station;DEM;Slope;Fraction_Forest;Imperv_500m;Imperv_1000m;Imperv_2000m;Imperv_3000m;Flusskilometer;Gesamtlänge Fluss;upstream_km;Kommentar
Rhone_a_Roquemaure;77.99;2.74;NA;5.130635246;2.268679632;3.112297414;3.919008382;109;812;703;Berechnet mit Shapefiles
Le_Lot_a_St_Pierre_Toirac;338.8;7.16;NA;0;0.043745203;0.10650131;0.102284188;234;485;251;Berechnet mit Shapefiles
Le_Gardon_de_Saint-Jean_a_Thoiras;300.74;9.45;NA;0.035240041;0.422929448;1.224209012;0.849010639;1;49;48;Berechnet mit Shapefiles
LArdeche_a_Saint-Julien_de_Peyrolas;582.99;12.75;NA;1.150510204;0.549194991;0.632672951;2.545393849;6.87;125.1;118.23;Berechnet mit Shapefiles
La_Loire_a_Saint_Satur;203.45;2.38;NA;5.303186023;6.508321598;3.212466038;2.770571104;493;1006;513;Berechnet mit Shapefiles
La_Loire_a_Montjean-sur-Loire;64.21;1.81;NA;13.02451481;11.00038358;5.351572488;4.375321392;113;1006;893;Berechnet mit Shapefiles
Herault_a_Florensac;367.38;9.13;NA;2.35255102;1.532200358;7.153231477;8.982633216;17.6;148;130.4;Berechnet mit Shapefiles
Esteron_au_Broc_La_Clave;921.05;19.74;NA;0;0;0.209876938;0.267276524;5.2;66;60.8;Berechnet mit Shapefiles
Ariege_au_Vernet;652.51;11.89;NA;2.913422131;1.254252462;1.24718742;1.180800591;51.7;163;111.3;Berechnet mit Shapefiles
Wuerm_Leutstetten;635.6974;1.471855;37.3009856;1.500765697;1.788982618;1.409672058;2.926575662;35.7;76.5;40.8;Steihnbach + Starnberger See + Würm
Wern_Sachsenheim;283.2765;2.156402;17.09331131;0.235955056;1.622795809;3.183625208;3.178028097;1.85;71.44;69.59;
Vils_Grafenmuehle;441.4282;1.53852;12.36273468;0.557770961;1.615025575;2.93493895;4.425232251;4.8;128.9;124.1;mit gr. Vils
Tiroler_Achen_Staudach;1136.272;14.12305;57.47785305;22.64642857;15.5075332;8.149185043;5.668944258;9.25;79;69.75;Achtung, Quelle Wikipedia
Saechsische_Saale_Hof;579.5568;2.170139;30.8056872;58.31147541;43.66581372;37.9412122;25.32073502;391;413;22;https://www.fgg-elbe.de/files/Download-Archive/Fachberichte/Allgemein/Fliessgw2015.pdf
Saalach_Unterjettenberg;1275.209;17.03547;62.01796091;0.267967146;0.445532514;0.205878592;0.380222762;26;105.43;79.43;
Rott_Ruhstorf;443.8126;1.68501;8.970177074;12.03589744;14.81453987;8.856909945;6.945433365;11.16;111.94;100.78;
Regnitz_Pettstadt;403.1001;2.135951;36.98713584;1.185867896;8.229795396;6.424614844;5.157167616;13.96;189.1;175.14;mit Rednitz
Regen_Marienthal;595.7262;4.777156;52.54448058;0;0;0.421109833;0.874163624;29.54;190.9;161.36;mit Gr Regen
Paar_Manching_Ort;455.1532;1.145985;16.06966159;59.6195097;34.66760383;17.32522612;14.26410887;12.1;134.42;122.32;
Naab_Unterkoeblitz;512.8285;2.287172;45.05864737;15.54322251;17.78636305;11.4875;5.934102305;87.03;196.6;109.57;Mit Waldnaab
Naab_Heitzenhofen;503.7979;2.574227;45.93624948;1.047179487;1.848938347;0.99571666;0.936104324;17;196.6;179.6;'
Mindel_Offingen;594.1245;1.630371;21.17990965;21.27462991;15.58609229;8.858619918;5.131074305;3.19;90.2;87.01; mit Wörthbach – Flossach
Mangfall_Rosenheim;804.5901;6.370633;50.11317338;49.91067762;47.4484259;35.71916757;27.85170057;1.89;84.4;82.51;mit Tegernsee und Weißach
Main_Wuerzburg;391.5474;2.477238;35.92125675;69.43025038;63.77453361;41.09821657;31.01438941;251.97;573;321.03;Hauptsrang über Regnitz
Main_Steinbach;383.7538;2.668571;36.57539788;8.688364941;7.198095116;5.252197679;6.152804807;200.52;573;372.48;
Main_Schwuerbitz;486.8345;3.600842;43.87493593;16.96586857;9.692582663;5.605740036;6.854905387;438.29;573;134.71;
