,change_score_raw,change_score_smooth
1756-04-01,0.0,0.009936119
1756-07-01,0.1469264,0.03524865
1756-10-01,0.28245077,0.08176528
1757-01-01,0.28242564,0.14241622
1757-04-01,0.34153712,0.2088778
1757-07-01,0.3353553,0.2733608
1757-10-01,0.31623137,0.32965147
1758-01-01,0.2618377,0.37367538
1758-04-01,0.30243042,0.40325367
1758-07-01,0.2718854,0.41781643
1758-10-01,0.4061627,0.41807848
1759-01-01,0.33364314,0.4060549
1759-04-01,0.47116745,0.38509464
1759-07-01,0.24417238,0.35974595
1759-10-01,0.1874613,0.33517852
1760-01-01,0.14679775,0.31653115
1760-04-01,0.24419598,0.30800956
1760-07-01,0.40512657,0.31214055
1760-10-01,0.2549867,0.32972214
1761-01-01,0.14788641,0.36007118
1761-04-01,0.19591102,0.40157047
1761-07-01,0.45836994,0.45227778
1761-10-01,0.4119159,0.5104522
1762-01-01,0.3249247,0.5745539
1762-04-01,0.22262824,0.64283216
1762-07-01,0.3341936,0.7127438
1762-10-01,0.37175557,0.78044945
1763-01-01,0.37581334,0.84065384
1763-04-01,0.46559927,0.887234
1763-07-01,0.6626888,0.9142009
1763-10-01,0.35351092,0.9173504
1764-01-01,0.3659552,0.8952875
1764-04-01,0.7569139,0.85011995
1764-07-01,0.41925716,0.7871206
1764-10-01,0.18389001,0.7136709
1765-01-01,0.23661111,0.637834
1765-04-01,0.35053268,0.5667631
1765-07-01,0.23845118,0.5057285
1765-10-01,0.31103012,0.4576219
1766-01-01,0.45480245,0.4230097
1766-04-01,0.2641665,0.40039417
1766-07-01,0.08672931,0.38670254
1766-10-01,0.18021064,0.37787813
1767-01-01,0.333717,0.369613
1767-04-01,0.6683468,0.35811323
1767-07-01,0.25211355,0.3408109
1767-10-01,0.22125484,0.31677586
1768-01-01,0.17089836,0.2867455
1768-04-01,0.28518233,0.25260293
1768-07-01,0.3412661,0.21691689
1768-10-01,0.18572704,0.18242718
1769-01-01,0.29486915,0.15155187
1769-04-01,0.2238448,0.12632589
1769-07-01,0.20055726,0.10835948
1769-10-01,0.17040123,0.09891731
1770-01-01,0.18264529,0.09889085
1770-04-01,0.27089798,0.10907674
1770-07-01,0.26762816,0.13018447
1770-10-01,0.25919977,0.16277014
1771-01-01,0.20269424,0.20698452
1771-04-01,0.18030047,0.26208925
1771-07-01,0.23760842,0.3258424
1771-10-01,0.2798806,0.39421958
1772-01-01,0.35996145,0.4613472
1772-04-01,0.31796256,0.5203588
1772-07-01,0.40648627,0.5646573
1772-10-01,0.43758175,0.5894167
1773-01-01,0.44009405,0.5928787
1773-04-01,0.48070964,0.576923
1773-07-01,0.33117804,0.54676205
1773-10-01,0.34692487,0.50969267
1774-01-01,0.07665269,0.47329357
1774-04-01,0.23787868,0.44364694
1774-07-01,0.2903455,0.42414916
1774-10-01,0.30876145,0.41528296
1775-01-01,0.34660512,0.41521463
1775-04-01,0.35138687,0.42084807
1775-07-01,0.2721549,0.42888117
1775-10-01,0.32989374,0.4365076
1776-01-01,0.374427,0.44158927
1776-04-01,0.20723541,0.44260174
1776-07-01,0.25363234,0.43862146
1776-10-01,0.31076747,0.4294803
1777-01-01,0.4391569,0.41614825
1777-04-01,0.5267518,0.4008228
1777-07-01,0.22811267,0.38663775
1777-10-01,0.095577955,0.37675694
1778-01-01,0.12823182,0.37311772
1778-04-01,0.28942052,0.37551764
1778-07-01,0.33892202,0.38128325
1778-10-01,0.32936767,0.38611665
1779-01-01,0.4316786,0.38536966
1779-04-01,0.39800686,0.3756749
1779-07-01,0.25758505,0.35601467
1779-10-01,0.29246038,0.3280141
1780-01-01,0.25366053,0.295426
1780-04-01,0.22795355,0.26318014
1780-07-01,0.23293553,0.23630978
1780-10-01,0.21548416,0.2190111
1781-01-01,0.3163897,0.21414253
1781-04-01,0.21414806,0.22280557
1781-07-01,0.18308912,0.24422023
1781-10-01,0.21350324,0.2757637
1782-01-01,0.25843617,0.31309736
1782-04-01,0.32388246,0.3508862
1782-07-01,0.31413397,0.3836713
1782-10-01,0.47618598,0.40686437
1783-01-01,0.31711143,0.41765684
1783-04-01,0.30009475,0.41555908
1783-07-01,0.3022226,0.40244773
1783-10-01,0.3176337,0.3820657
1784-01-01,0.3039104,0.35912392
1784-04-01,0.26274058,0.3382181
1784-07-01,0.25912896,0.3227719
1784-10-01,0.17444299,0.31416067
