Area;ISO 3 code;Year;Area type;Continent;Ember region;EU;OECD;G20;G7;ASEAN;Category;Subcategory;Variable;Unit;Value;YoY absolute change;YoY % change
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;%;15,54;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;%;84,46;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;%;37,96;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;%;3,71;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;%;15,54;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;%;11,83;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;TWh;5,57;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;TWh;30,28;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;TWh;13,61;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;TWh;1,33;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;TWh;5,57;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;TWh;4,24;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;%;3,63;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;%;46,5;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;%;24,46;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;%;0,08;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;%;0;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;%;13,5;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;%;0;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;%;0;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;%;11,83;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;TWh;1,3;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;TWh;16,67;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;TWh;8,77;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;TWh;0,03;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;TWh;0;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;TWh;4,84;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;TWh;0;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;TWh;0;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;TWh;4,24;;
Denmark;DNK;2000;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Total;Total Generation;TWh;35,85;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;%;15,58;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;%;84,41;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;%;36,94;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;%;4,1;;
Denmark;DNK;2001;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;%;15,58;;
